,Name,l,b,dm,dmmax,dmdiff
0,FRB190523,117.03,44.0,760.8,36.79989788810951,724.0001021118904
1,FRB190209.J0937+77,134.2,34.8,424.6,45.03388690202897,379.5661130979711
2,FRB190116.J1249+27,210.5,89.5,444.0,19.8434477446109,424.1565522553891
3,FRB181119.J12+65,124.5,52.0,364.2,33.36170153409547,330.83829846590453
4,FRB181030.J1054+73,133.4,40.9,103.5,39.73698677660716,63.76301322339284
5,FRB181017.J1705+68,99.2,34.8,1281.9,42.75571869669959,1239.1442813033004
6,FRB181016,345.51,22.67,1982.8,83.34444316191139,1899.4555568380886
7,FRB180817.J1533+42,68.0,54.0,1006.84,27.40563439298362,979.4343656070164
8,FRB180814.J1554+74,108.0,37.0,238.32,41.22445535516645,197.09554464483355
9,FRB180810.J1159+83,125.0,34.0,169.134,45.153220311917664,123.98077968808232
10,FRB180806.J1515+75,112.0,38.0,739.98,40.63833911426098,699.3416608857391
11,FRB180730.J0353+87,125.0,25.0,849.047,58.41601261410822,790.6309873858918
12,FRB180729.J1316+55,115.0,61.0,109.61,30.445432091654393,79.1645679083456
13,FRB180727.J1311+26,25.0,85.0,642.07,21.595434363119505,620.4745656368806
14,FRB180725.J0613+67,147.0,21.0,715.98,69.51844414709907,646.4615558529009
15,FRB180525,349.0,50.7,388.1,30.564818473210444,357.5351815267896
16,FRB180417,276.0,75.6,474.8,26.080064346271577,448.71993565372844
17,FRB180212,341.5,52.4,167.5,30.20756062817388,137.2924393718261
18,FRB180128.0,330.1,52.7,441.4,31.322500591078246,410.0774994089217
19,FRB171004,282.2,48.9,304.0,37.91407969754766,266.08592030245234
20,FRB171003,294.9,48.4,463.2,38.28410650757961,424.91589349242037
21,FRB170107,266.1,51.4,609.5,36.36700387270963,573.1329961272904
22,FRB160410,220.36,27.19,278.0,56.74202981299168,221.2579701870083
23,FRB151230,239.0,34.8,960.4,47.40493549907131,912.9950645009287
24,FRB130729,324.788,54.7446,861.0,30.813536144289905,830.1864638557101
25,FRB130628,225.955,30.6556,469.88,51.753780923076576,418.1262190769234
26,FRB130626,7.45003,27.4203,952.4,64.59888455929908,887.8011154407009
27,FRB181228,253.3915,-26.0633,354.2,58.87350755465964,295.32649244534036
