      wave         Al_AV
      1000.00      5.23836
      1050.00      4.65498
      1100.00      4.21721
      1150.00      3.87288
      1200.00      3.58713
      1250.00      3.33668
      1300.00      3.12702
      1350.00      2.96481
      1400.00      2.83876
      1450.00      2.74046
      1500.00      2.66388
      1550.00      2.60478
      1600.00      2.56043
      1650.00      2.52940
      1700.00      2.51151
      1750.00      2.50729
      1800.00      2.51963
      1850.00      2.55355
      1900.00      2.61537
      1950.00      2.71128
      2000.00      2.84253
      2050.00      2.99524
      2100.00      3.13024
      2150.00      3.19274
      2200.00      3.15170
      2250.00      3.02593
      2300.00      2.86123
      2350.00      2.69537
      2400.00      2.54689
      2450.00      2.42068
      2500.00      2.31532
      2550.00      2.22742
      2600.00      2.15352
      2650.00      2.09066
      2700.00      2.03651
      2750.00      1.98925
      2800.00      1.94753
      2850.00      1.91027
      2900.00      1.87669
      2950.00      1.84615
      3000.00      1.81816
      3050.00      1.79208
      3100.00      1.76330
      3150.00      1.73321
      3200.00      1.70455
      3250.00      1.67865
      3300.00      1.65594
      3350.00      1.63634
      3400.00      1.61944
      3450.00      1.60473
      3500.00      1.59163
      3550.00      1.57960
      3600.00      1.56816
      3650.00      1.55690
      3700.00      1.54548
      3750.00      1.53368
      3800.00      1.52129
      3850.00      1.50823
      3900.00      1.49442
      3950.00      1.47985
      4000.00      1.46456
      4050.00      1.44857
      4100.00      1.43198
      4150.00      1.41485
      4200.00      1.39728
      4250.00      1.37937
      4300.00      1.36121
      4350.00      1.34290
      4400.00      1.32452
      4450.00      1.30617
      4500.00      1.28791
      4550.00      1.26983
      4600.00      1.25197
      4650.00      1.23439
      4700.00      1.21715
      4750.00      1.20027
      4800.00      1.18380
      4850.00      1.16774
      4900.00      1.15212
      4950.00      1.13696
      5000.00      1.12225
      5050.00      1.10800
      5100.00      1.09420
      5150.00      1.08085
      5200.00      1.06794
      5250.00      1.05546
      5300.00      1.04338
      5350.00      1.03171
      5400.00      1.02040
      5450.00      1.00946
      5500.00     0.998850
      5550.00     0.988557
      5600.00     0.978558
      5650.00     0.968833
      5700.00     0.959361
      5750.00     0.950121
      5800.00     0.941092
      5850.00     0.932256
      5900.00     0.923592
      5950.00     0.915084
      6000.00     0.906714
      6050.00     0.898465
      6100.00     0.890322
      6150.00     0.882271
      6200.00     0.874297
      6250.00     0.866390
      6300.00     0.858536
      6350.00     0.850726
      6400.00     0.842951
      6450.00     0.835202
      6500.00     0.827471
      6550.00     0.819752
      6600.00     0.812040
      6650.00     0.804329
      6700.00     0.796616
      6750.00     0.788898
      6800.00     0.781173
      6850.00     0.773438
      6900.00     0.765693
      6950.00     0.757938
      7000.00     0.750173
      7050.00     0.742400
      7100.00     0.734619
      7150.00     0.726833
      7200.00     0.719044
      7250.00     0.711256
      7300.00     0.703471
      7350.00     0.695694
      7400.00     0.687929
      7450.00     0.680179
      7500.00     0.672451
      7550.00     0.664748
      7600.00     0.657076
      7650.00     0.649440
      7700.00     0.641846
      7750.00     0.634299
      7800.00     0.626806
      7850.00     0.619373
      7900.00     0.612005
      7950.00     0.604708
      8000.00     0.597489
      8050.00     0.590354
      8100.00     0.583309
      8150.00     0.576360
      8200.00     0.569514
      8250.00     0.562777
      8300.00     0.556155
      8350.00     0.549654
      8400.00     0.543280
      8450.00     0.537039
      8500.00     0.530937
      8550.00     0.524980
      8600.00     0.519174
      8650.00     0.513524
      8700.00     0.508036
      8750.00     0.502716
      8800.00     0.497568
      8850.00     0.492598
      8900.00     0.487812
      8950.00     0.483213
      9000.00     0.478808
      9050.00     0.474599
      9100.00     0.470246
      9150.00     0.466115
      9200.00     0.462044
      9250.00     0.458029
      9300.00     0.454071
      9350.00     0.450168
      9400.00     0.446319
      9450.00     0.442523
      9500.00     0.438780
      9550.00     0.435087
      9600.00     0.431444
      9650.00     0.427851
      9700.00     0.424306
      9750.00     0.420808
      9800.00     0.417357
      9850.00     0.413951
      9900.00     0.410590
      9950.00     0.407274
      10000.0     0.404000
