Name,ra,dec,ee_a,ee_b,ee_a_sys,ee_b_sys,ee_theta,DM,DM_err,fluence,fluence_err,RM,RM_err,z,repeater,refs,ra_new,dec_new,eea_new,eeb_new,ee_theta_new,Diff RA,Diff (DEC)
FRB20121102A,82.99458875,33.14793156,0.004,0.002,0.0015,0.0015,90,558.1,1,,,102700.00,100,0.19273,TRUE,"Tendulkar2017,Marcote2017",,,,,,,
FRB20171020A,333.8272917,-19.66978611,600,600,,,0,114.1,0.2,,,,,0.00867,FALSE,"Shannon2018,Mahony2018",,,,,,,
FRB20180301A,93.22683333,4.671055556,0.01142,0.00825,0.619,0.603,0,536,13,4.9,0.5,,,0.33044,TRUE,Bhandari2021,,,,,,,
FRB20180916B,29.50312571,65.71675422,0.0011,0.0011,0.002,0.002,0,348.76,0.1,2.53,,-114.6,0.6,0.0337,TRUE,Marcote2020,,,,,,,
FRB20180924A,326.1052292,-40.90002778,0.07,0.07,0.1611,0.1611,0,362.16,0.01,16,1,22,2,0.3212,FALSE,"Bannister2019,Bhandari2020,Day2020,Day2021",,,,,,,
FRB20181030A,158.5963,73.765,85,29,,,0,103.5,0.3,,,,,0.0039,TRUE,Bhardwaj2021b,,,,,,,
FRB20181112A,327.3484583,-52.97094444,0.5553,0.15293,5.728,1.432,120.15,589.27,0.03,20.2,0.1,10.5,0.4,0.4755,FALSE,"Prochaska2019,Day2021",,,,,,,
FRB20190102C,322.4156667,-79.47569444,0.21,0.17,0.936,0.7876,0,364.545,0.004,14,1,-105,1,0.2912,FALSE,"Bhandari2020,Day2020,Day2021",,,,,,,
FRB20190520B,240.517775,-11.288147,0.1,0.09,,,90,1210.3,0.8,,,,,0.241,TRUE,Niu2021,,,,,,,
FRB20190523A,207.065,72.46972222,4,1.5,,,340,760.8,0.6,280,,,,0.66,FALSE,Ravi2019,,,,,,,
FRB20190608B,334.019875,-7.89825,0.19,0.18,0.33,0.3,90,340.05,0.6,26,4,353,2,0.1177805,FALSE,"Bhandari2020,Day2020,Day2021",,,,,,,
FRB20190611B,320.7455833,-79.39758333,0.34,0.32,1.12,1.07,0,332.63,0.04,10,2,20,4,0.3778,FALSE,"MacQuart2020,Day2020,Day2021",,,,,,,
FRB20190614D,65.07552,73.70674,0.8,0.4,,,67,959,1,0.62,0.07,,,,FALSE,Law2020,,,,,,,
FRB20190711A,329.417236328,-80.358032227,2.409,1.281,,,-67.96,587.9,1,34,3,9,2,0.52172,TRUE,"MacQuart2020,Day2020,Day2021",329.417236328,-80.358032227,2.409,1.281,-67.96,0,0
FRB20190714A,183.9797083,-13.021,0.17,0.1,0.5191,0.376,90,504.13,0.1,12,2,,,0.2365,FALSE,"Heintz2020,Day2021",,,,,,,
FRB20191001A,323.351684570,-54.748306274,0.46,0.43,,,81.9,507,0.07,143,15,55.5,0.9,0.234,FALSE,"Bhandari2020b,Day2021,Shannon2023",323.351684570,-54.748306274,0.46,0.43,81.9,0,0
FRB20191228A,344.430541992,-29.594116211,0.84,0.76,,,-29.34,298,0.05,40,,,,0.243,FALSE,"Bhandari2021,Day2021",344.430541992,-29.594116211,0.84,0.76,-29.34,0,0
FRB20200120E,149.4778333,68.81888889,0.4,0.4,,,0,87.818,0.007,,,-29.8,0.5,0.0008,TRUE,"Bhardwaj2021,Kirsten2021",,,,,,,
FRB20200430A,229.706451416,12.376329422,0.459,0.43,,,17.24,380,,35,4,,,0.161,FALSE,"Bhandari2021,Day2021",229.706451416,12.376329422,0.459,0.43,17.24,0,0
FRB20200906A,53.495544434,-14.083008766,0.51,-0.47,,,39,577.84,0.02,59,,,,0.3688,FALSE,"Bhandari2021,Day2021",53.495544434,-14.083008766,0.51,-0.47,39,0,0
FRB20201123A,263.67,-50.76,30,30,,,0,433.55,0.4,,,,,0.0507,FALSE,Rajwade2022,,,,,,,
FRB20201124A,77.01461542,26.06069556,0.004,0.004,,,0,411,1,,,-613,2,0.0982,TRUE,Kumar2021,,,,,,,
FRB20210117A,339.979187012,-16.151445389,0.418,0.417,,,73.05,728.95,0.1,36,,,,0.2145,FALSE,"Shannon2024,Gordon2023",339.979187012,-16.151445389,0.418,0.417,73.05,0,0
FRB20210320C,204.458770752,-16.122669220,0.471,0.452,,,43.73,384.593,1,21,,,,0.2797,FALSE,"Shannon2024,Gordon2023",204.458770752,-16.122669220,0.471,0.452,43.73,0,0
FRB20210410D,326.08625,-79.318194,0.8,0.5,,,90,575,1,,,,,0.1415,FALSE,Caleb2023,,,,,,,
FRB20210807D,299.221433,-0.762361,0.5,0.5,,,0,251.3,1,113,9,,,0.12927,FALSE,"Shannon2024,Gordon2023",,,,,,,
FRB20210912A,350.793518066,-30.405580521,0.438,0.433,,,66.16,1235,1,90,15,,,,FALSE,Marnoch2023,350.793518066,-30.405580521,0.438,0.433,66.16,0,0
FRB20211127I,199.808807373,-18.837911606,0.51,0.51,,,65.1,234.97,1,31,1,,,0.0469,FALSE,"Shannon2024,Gordon2023",199.808807373,-18.837911606,0.51,0.51,65.1,0,0
FRB20211203C,204.562500000,-31.380266190,0.44,0.44,,,80.7,635,1,28,2,,,0.34386,FALSE,"Shannon2024,Gordon2023",204.562500000,-31.380266190,0.44,0.44,80.7,0,0
FRB20211212A,157.350784302,1.360430598,0.5,0.46,,,45.58,209,1,36,,,,0.0707,FALSE,"Shannon2024,Gordon2023",157.350784302,1.360430598,0.5,0.46,45.58,0,0
FRB20220105A,208.803359985,22.466228485,1.513,0.823,,,-30.45,580,1,16,,,,0.2785,FALSE,"Shannon2024,Gordon2023",208.803359985,22.466228485,1.513,0.823,-30.45,0,0
FRB20220121B,,,,,,,90,313.5,0.2,,,-4.6,15.5,,FALSE,Sherman23,,,,,,,
FRB20220204A,274.22625,69.722503,1.56,0.93,,,90,612.2,0.05,,,-11,11.7,0.4012,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20220207C,310.199525,72.882327,0.63,0.54,,,90,262.3,,28.6,,162.48,0.04,0.0433,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220208A,322.575125,70.041042,0.99,0.64,,,90,437,0.6,,,-23.3,9.7,0.351,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20220307B,350.874496,72.192386,1.72,1.26,,,90,499.15,,2.2,,-947.2,12.3,0.2481,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220310F,134.7205,73.490833,1.9,1.4,,,90,462.15,,23.9,,11.4,0.2,0.478,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220319D,32.1779208,71.03526,0.58,0.55,,,90,110.95,,9.6,,59,14.3,0.0112,FALSE,"Ravi2023,Law2023,Sherman23",,,,,,,
FRB20220330D,163.75125,70.35075,1.62,0.97,,,90,468.1,0.9,,,-122.2,4.5,0.3714,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20220418A,219.105575,70.095944,1.356,0.761,,,90,623.45,,4.1,,6.1,7.5,0.6213,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220424E,,,,,,,90,863.48,0.03,,,126.9,13.4,,FALSE,Sherman23,,,,,,,
FRB20220501C,352.379150391,-32.490715027,0.42,0.42,,,66.8,449.5,0.2,32,2,,,0.381,FALSE,Shannon2024,,,,,,,
FRB20220506D,318.044833,72.827278,1.11,0.81,,,90,396.93,,16,,-32.4,3.6,0.3004,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220509G,282.67,70.243833,2.2,1.5,,,90,269.5,,6.3,,-109,1.2,0.0894,FALSE,"Sharma2023,Connor2023,Law2023,Sherman23",,,,,,,
FRB20220610A,351.073272705,-33.513851166,0.445,0.429,,,-53.56,1458.1,0.2,47,2,215,2,1.015,FALSE,"Ryder2023,Shannon2024",,,,,,,
FRB20220725A,353.315216064,-35.990257263,0.46,0.44,,,-56.11,290.4,0.3,72,6,,,0.1926,FALSE,Shannon2024,,,,,,,
FRB20220726A,73.9455417,69.929528,0.8,0.6,,,90,686.55,0.01,,,499.8,7.2,0.3619,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20220801A,,,,,,,,412.6,0,,,,,,FALSE,Sherman23,,,,,,,
FRB20220825A,311.98145,72.584969,0.78,0.69,,,90,651.2,0.02,,,750.2,6.7,0.2414,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20220831A,338.695542,70.538444,1.03,0.67,,,90,1146.25,0.2,,,772.1,7.2,,FALSE,"Sherman23,Connor24",,,,,,,
FRB20220914A,282.056792,73.336914,0.93,0.73,,,90,631.05,,2.8,,,,0.1139,FALSE,"Sharma2023,Connor2023,Law2023",,,,,,,
FRB20220918A,17.592142105,-70.811378479,0.46,0.43,,,-20.4,656.8,0.4,55,2,,,0.491,FALSE,Shannon2024,,,,,,,
FRB20220920A,240.257083,70.9188,1.02,0.6,,,90,315,,4.6,,-830.3,8.3,0.1582,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20220926A,,,,,,,,441.53,0.03,,,,,,FALSE,Sherman23,,,,,,,
FRB20221002A,,,,,,,,322.5,1,,,,,,FALSE,Sherman23,,,,,,,
FRB20221012A,280.798708,70.524208,1.12,0.74,,,90,442.2,,4.3,,165.7,17.7,0.2847,FALSE,"Law2023,Sherman23,Sharma24",,,,,,,
FRB20221027A,130.872,72.100944,0.8,0.7,,,90,452.5,,,,,,0.5422,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20221029A,141.963417,72.452317,0.8,0.7,,,90,1391.05,,,,-155.8,9.7,0.975,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20221101A,76.0613333,72.446525,1.6,1.2,,,90,1476.5,,,,4670.4,10.8,,FALSE,Sherman23,,,,,,,
FRB20221101B,342.215792,70.6815,1.2,0.9,,,90,490.7,,,,-32.2,9.1,0.2395,FALSE,"Sherman23,Sharma24",,,,,,,
FRB20221106A,56.704807281,-25.569810867,0.598,0.53,,,-58.11,343.8,0.8,80,2,,,0.2044,FALSE,Shannon2024,,,,,,,
FRB20221113A,71.411,70.307389,1.4,0.9,,,90,411.4,,,,,,0.2505,FALSE,Sharma24,,,,,,,
FRB20221116A,21.2109583,72.65375,1,1,,,90,640.6,,,,,,0.2764,FALSE,Sharma24,,,,,,,
FRB20221203A,315.129542,72.037561,0.56,0.46,,,90,602.25,,,,,,,FALSE,Connor24,,,,,,,
FRB20221219A,257.629792,71.626842,1.54,0.93,,,90,706.708,,,,,,0.553,FALSE,Sharma24,,,,,,,
FRB20230124A,231.917,70.968086,1.4,0.9,,,90,590,,,,,,0.0939,FALSE,Sharma24,,,,,,,
FRB20230216A,156.472167,3.436825,1.2,0.7,,,90,828.289,,,,,,0.531,FALSE,Sharma24,,,,,,,
FRB20230307A,177.781583,71.695131,0.2,0.2,,,90,610.15,,,,,,0.2706,FALSE,Sharma24,,,,,,,
FRB20230501A,340.027083,70.922139,0.9,0.8,,,90,533.7,,,,,,0.3015,FALSE,Sharma24,,,,,,,
