tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20180725A,180725.J0613+67,-9999,93.420,0.039,-9999,67.07,0.21,-9999,147.29,21.29,30,18,-9999,-9999,-9999,-9999,19.2,716.6,0,2.7,0,5.0,33.2,715.8093,0.0041,644.2,635.4,0.00295,0.00110,0.00032,1.7,1.0,-9999,4.1,2.3,-9999,0,58324.7498032059,0.0000000018,58324.7495885601,0.0000000022,0.000296,0.000076,38.2,3.7,-45.8,4.2,760.1,485.3,607.4,371857.954,371481,0.403,1
FRB20180727A,180727.J1311+26,-9999,197.72,0.13,-9999,26.42,0.26,-9999,24.76,85.6,10.4,7.1,-9999,-9999,-9999,-9999,10.4,642.1,0,1.9,0,3.1,12.2,642.134,0.015,620.9,622.4,0.00295,<0.0017,-9999,0.58,0.31,-9999,2.31,0.76,-9999,0,58326.0362615845,0.0000000037,58326.0360690313,0.0000000058,0.00139,0.00017,3.8,1.8,-9.2,3.0,800.2,400.2,493.3,382969.318,381818,0.387,1
FRB20180729A,180729.J1316+55,-9999,199.40,0.12,-9999,55.580,0.084,-9999,115.26,61.16,21,11,-9999,-9999,-9999,-9999,32,108.4,0,4.6,0,8.6,206.6,109.59418,0.00031,78.8,86.8,0.00098,0.0001574,0.0000036,11.7,6.8,-9999,17,10,-9999,0,58328.03356479831,0.00000000032,58328.03353193490,0.00000000034,<0.00010,-9999,16.46,0.24,-30.21,0.38,692.7,400.2,525.6,264732.041,186953,0.399,1
FRB20180729B,180729.J0558+56,-9999,89.93,0.27,-9999,56.50,0.24,-9999,156.9,15.68,21,12,-9999,-9999,-9999,-9999,12.4,318.6,0,0.9,0,1.7,22,317.2235,0.0045,223.2,198.8,0.00197,0.00066,0.00018,0.92,0.59,-9999,1.20,0.74,-9999,0,58328.7280323977,0.0000000037,58328.7279372735,0.0000000040,0.000314,0.000083,14.5,3.5,-14.6,3.5,800.2,441.8,657.5,425139.488,421337,0.323,1
FRB20180730A,180730.J0353+87,-9999,57.390,0.032,-9999,87.19,0.20,-9999,125.11,25.11,270,110,-9999,214,99,-9999,69.5,849.2,3.3,2.3,6.1,4.4,89.8,848.9041,0.0018,789.7,790.5,0.00492,0.002073,0.000074,5.2,2.8,-9999,27,12,-9999,0,58329.1511342663,0.0000000012,58329.1508797100,0.0000000013,0.000468,0.000040,4.27,0.30,-11.31,0.48,759.2,400.2,483.5,429165.844,417689,0.329,1
FRB20180801A,180801.J2130+72,-9999,322.530,0.059,-9999,72.72,0.22,-9999,109.21,15.46,39,22,-9999,31,17,-9999,20.4,656.7,31.0,4.4,66.9,8.4,40.9,655.728,0.016,565.6,547.7,0.00983,0.00554,0.00037,1.11,0.65,-9999,7.9,4.8,-9999,0,58331.3662498721,0.0000000036,58331.3660532425,0.0000000060,0.00058,0.00021,60.0,4.8,-75.5,5.7,709.3,500.2,595.6,804325.253,800121,0.357,1
FRB20180806A,180806.J1515+75,-9999,228.560,0.071,-9999,75.62,0.39,-9999,112.27,38.4,48,26,-9999,39,20,-9999,13.9,739.2,2.5,0.4,4.6,0.8,14.4,739.9482,0.0080,699.3,706.0,0.00295,<0.0016,-9999,1.9,1.8,-9999,7.6,6.6,-9999,0,58336.5925115761,0.0000000033,58336.5922896918,0.0000000041,0.00141,0.00012,0.1,1.2,-0.1,1.6,800.2,400.2,665.3,370874.518,369658,0.406,1
FRB20180810A,180810.J0646+34,-9999,101.47,0.13,-9999,34.86,0.24,-9999,180.67,14.06,15.0,8.3,-9999,-9999,-9999,-9999,13.1,415.7,0,1.5,0,2.7,16.5,414.8804,0.0040,310.2,274.7,0.00197,0.000253,0.000080,1.10,0.86,-9999,1.7,1.0,-9999,0,58340.728472237,0.000000081,58340.728347829,0.000000081,0.000322,0.000074,1.1,1.5,-1.7,1.9,800.2,400.2,552.9,356074.278,356889,0.427,1
FRB20180810B,180810.J1159+83,-9999,180.410,0.016,-9999,83.14,0.16,-9999,124.71,33.82,58,30,-9999,38,28,-9999,38.6,169.8,2.7,1.1,4.7,1.8,55.1,169.1385,0.0017,123.3,129.6,0.00098,0.000201,0.000013,5.2,1.3,-9999,7.9,2.1,-9999,0,58340.9449537088,0.0000000024,58340.9449029901,0.0000000025,0.000311,0.000026,-0.76,0.40,-4.06,0.71,778.6,400.2,400.2,191482.92,183305,0.411,1
FRB20180812A,180812.J0112+80,-9999,19.33,0.27,-9999,80.78,0.28,-9999,124.02,17.96,50,28,-9999,45,27,-9999,12.5,795.8,6.2,2.1,12.2,4.1,20.5,802.451,0.035,722.1,708.4,0.00786,0.00281,0.00032,0.93,0.58,-9999,5.4,2.8,-9999,0,58342.4900925808,0.0000000039,58342.489851954,0.000000011,<0.0013,-9999,-2.9,1.4,-8.3,3.6,586.4,400.2,400.2,563105.45,560873,0.399,1
