FRB,Filter,RA,Dec,RA_source_sig,FRB Positional,RA_astrom_sig,Astrometric (F160W-F300X),DEC_source_sig,FRB Positional,DEC_astrom_sig,Astrometric (F160W-F300X),sigma_RA_tot,sigma_Dec_tot,sigma_host_tot,sigma_FRB_tot
121102,F160W,05:31:58.686,33:08:52.433,0.00571,,0.0139,0,0.00261,,0.0148,0,,,6.278232235,0
121102,F763M,N/A (no obvious emission from host center),,0,,0.0139,0.00564,0,,0.0148,0.00526,,,0,0
180916,F110W,1:58:00.292,65:42:53.088,0.0014,,0.0167,,0.00108,,0.0232,,,,1.768162888,0
180924,F160W,21:44:25.256,-40:54:00.80,0.000329,0.1345,0.0243,0,0.00026,0.1345,0.0228,0,0.1366778996,0.1364190515,0.4193339958,0.1902117241
180924,F300X,21:44:25.248,-40:54:00.761,0.00223,0.1345,0.0243,0.00536,0.00222,0.1345,0.0228,0.00432,0.1368007401,0.1365052409,3.146633121,0.1902117241
190102,F160W,21:29:39.577,-79:28:32.52,0.0137,0.4123,0.0394,0,0.0039,0.5099,0.0656,0,0.4144048021,0.5141172823,14.2442971,0.6557356937
190102,F300X,N/A (no discernable host),,0,0.4123,0.0394,0.0138,0,0.5099,0.0656,0.0202,0.4144081201,0.5144991837,0,0.6557356937
190608,F160W,22:16:04.903,-7:53:55.91,0.000596,0.2617,0.0557,0,0.000545,0.2546,0.0968,0,0.2675625819,0.2723815284,0.8076143882,0.3651137494
190608,F300X,take from Jay's paper,,0.000628,0.2617,0.0557,0.0234,0.000434,0.2546,0.0968,0.0216,0.2685839429,0.2732364331,0.7633740892,0.3651137494
190711,F160W,21:57:40.613,-80:21:29.05,0.00425,0.4841,0.027,,0.00299,0.4243,0.0355,0,0.4848709854,0.4257930015,5.196402602,0.6437261064
190711,F300X,21:57:40.588,-80:21:29.044,0.00728,0.4841,0.027,0.0358,0.00242,0.4243,0.0355,0.0224,0.4862267459,0.4263781847,7.671688211,0.6437261064
191001,F160W,21:33:24.440,-54:44:54.53,0.000407,0.006,0.0727,0,0.000335,0.13,0.0858,0,0.07294830806,0.1557618446,0.5271375532,0.1301383879
191001,F300X,difficult to determine center from SExtractor,,0,0.006,0.0727,0.0071,0,0.13,0.0858,0.0747,0.07329188222,0.1727475904,0,0.1301383879
190714,F160W,12:15:55.090,-13:01:15.96,0.00102,0.0246,0.0281,0,0.000527,0.2236,0.0196,0,0.03736054603,0.2244580088,1.148097992,0.2249491498
190714,F300X,difficult to determine center from SExtractor,,0,0.0246,0.0281,0.00822,0,0.2236,0.0196,0.00626,0.03824053347,0.2245446673,0,0.2249491498
