# The order here matters,,,
#   The last measurement trumps all previous of the same quantity,,,
Table,Format,Reference,DOI
bassa2017_photom.ascii,ascii.fixed_width,Bassa2017,10.3847/2041-8213/aa7a0c
mahony2018_derived.csv,csv,Mahony2018,10.3847/2041-8213/aae7cb
prochaska2019_photom.ascii,ascii.fixed_width,Prochaska2019,10.1126/science.aay0073
heintz2020_photom.ascii,ascii.fixed_width,Heintz2020,10.3847/1538-4357/abb6fb
heintz2020_photom2.ascii,ascii.fixed_width,Heintz2020,10.3847/1538-4357/abb6fb
heintz2020_nebular.csv,csv,Heintz2020,10.3847/1538-4357/abb6fb
tendulkar2017_nebular.csv,csv,Tendulkar2017,10.3847/2041-8213/834/2/L7
marcote2020_nebular.csv,csv,Marcote2020,10.1038/s41586-019-1866-z
mannings2021_photom.csv,csv,Mannings2021,arXiv:2012.11617
mannings2021_derived.csv,csv,Mannings2021,arXiv:2012.11617
bhardwaj2021_derived.csv,csv,Bhardwaj2021,10.3847/2041-8213/abeaa6
bhandari2021_photom.ascii,ascii.fixed_width,Bhandari2021,arXiv:2108.01282
fong2021_photom.ascii,ascii.fixed_width,Fong2021,arXiv:2106.11993
fong2021_nebular.csv,csv,Fong2021,arXiv:2106.11993
fong2021_derived.csv,csv,Fong2021,arXiv:2106.11993
tendulkar2021_photom.csv,csv,Tendulkar2021,10.3847/2041-8213/abdb38
niu2022_derived.csv,csv,Niu2022,10.1038/s41586-022-04755-5
niu2022_photom.csv,csv,Niu2022,10.1038/s41586-022-04755-5
bhandari2023_photom.csv,csv,Bhandari2023,10.3847/1538-4357/acc178
caleb2023_photom.csv,csv,Caleb2023,10.1093/mnras/stad1839
gordon2023_derived.csv,csv,Gordon2023,arXiv:2302.05465
gordon2023_photom.csv,csv,Gordon2023,arXiv:2302.05465
shannon2024_photom.csv,csv,Shannon2024,arXiv:2408.02083
sharma2024_photom.csv,csv,Sharma2024,arXiv:2409.16964
muller2025_photom.csv,csv,Muller2025,arXiv:2506.20774
