Name,ra,dec,z_SED,z_SED_uperr,z_SED_loerr,Mtotal,Mtotal_uperr,Mtotal_loerr,Z_stellar,Z_stellar_uperr,Z_stellar_loerr,AV_young,AV_young_uperr,AV_young_loerr,AV_old,AV_old_uperr,AV_old_loerr,f_AGN,f_AGN_uperr,f_AGN_loerr,agn_tau,agn_tau_uperr,agn_tau_loerr,Z_gas,Z_gas_uperr,Z_gas_loerr,SFR_SED,SFR_SED_uperr,SFR_SED_loerr,Mstar,Mstar_uperr,Mstar_loerr,age_mass,age_mass_uperr,age_mass_loerr,lg_sSFR,lg_sSFR_uperr,lg_sSFR_loerr
HG20121102A,82.994525,33.14789806,0.1931,0,0,218776162.4,56646707.94,48951797.15,1.288249552,0.1571902191,0.2882495517,1.1,0.25,0.26,0.11,0.09,0.06,-999,-999,-999,-999,-999,-999,0.2398832919,0.04195500122,0.03095367882,0.05,0.02,0.01,138038426.5,31785938.79,28390606.85,5.71,0.96,1.26,-9.72,0.23,0.26
HG20180301A,93.22683,4.670476944,0.3305,0,0,6918309709,2201798684,1789695869,0.1023292992,0.08821677257,0.03923356478,1.18,0.28,0.27,0.31,0.17,0.12,-999,-999,-999,-999,-999,-999,0.4677351413,0.05707231896,0.04115562249,1.91,0.64,0.55,4365158322,1258254930,976716761,4.34,1.1,1.29,-9.26,0.24,0.24
HG20180916B,29.50121667,65.71474667,0.033,0,0,13489628826,1301455056,1466984480,0.01584893192,0.005044029384,0.003546244216,0.94,0.27,0.25,0.35,0.07,0.01,-999,-999,-999,-999,-999,-999,1.513561248,0.7773064043,0.5135612484,0.04,0.03,0.02,8128305162,581330737.9,883945560.9,7.73,0.86,1.22,-11.16,0.31,0.39
HG20180924B,326.1052333,-40.90022222,0.3212,0,0,39810717055,1876221292,2657194146,0.7244359601,0.06989227465,0.06374251207,1.1,0.3,0.25,0.11,0.03,0.03,-999,-999,-999,-999,-999,-999,1.071519305,0.2167302465,0.1802683671,0.62,0.32,0.24,24547089157,1156868671,1104801004,5.63,0.53,0.75,-10.32,0.1,0.15
HG20181112A,327.3485833,-52.97091111,0.4755,0,0,11481536215,2008092611,1931610355,0.645654229,0.5566102056,0.3366246858,1.16,0.26,0.31,0.13,0.13,0.08,-999,-999,-999,-999,-999,-999,0.6760829754,0.2151679627,0.1632215914,1.54,0.99,0.65,7413102413,1296533487,1103528968,3.82,0.84,0.98,-9.42,0.15,0.17
HG20190102C,322.4149042,-79.4757,0.2909,0,0,7943282347,1829089862,1917686486,0.07079457844,0.09516411231,0.04195426341,1.09,0.29,0.29,0.2,0.18,0.13,-999,-999,-999,-999,-999,-999,0.3090295433,1.553057593,0.2135302846,0.4,0.31,0.11,4897788194,1127807667,1095894230,4.76,1.02,1.47,-9.82,0.3,0.33
HG20190520B,240.5179583,-11.28847222,0.2417,0,0,1995262315,403570604.1,446445696.1,0.02818382931,0.03207212929,0.01372943161,1.18,0.27,0.33,0.15,0.15,0.1,-999,-999,-999,-999,-999,-999,0.2089296131,0.3799140423,0.1500452475,0.04,0.04,0.02,1202264435,243175336.1,225027213.7,5.27,1.02,1.32,-10.11,0.3,0.32
HG20190608B,334.0204292,-7.898863889,0.1178,0,0,60255958607,2839775841,2711964874,0.9332543008,0.09003869148,0.08211626259,1.09,0.22,0.21,0.08,0.02,0.02,0.02511886432,0.0195494949,0.01660748393,22.77,34.85,12.53,1.047128548,0.1277690069,0.1138742473,7.03,1.43,1.15,36307805477,1711134155,1634120432,7.13,0.7,1.21,-9.99,0.05,0.06
HG20190611B,320.7428208,-79.39724722,0.3778,0,0,5888436554,2054845794,1523278231,0.1445439771,0.3683174069,0.1028570387,1.2,0.28,0.3,0.45,0.34,0.23,-999,-999,-999,-999,-999,-999,1,0.2882495517,0.6198106037,0.53,0.77,0.26,3715352291,1182435903,896969359.7,4.45,0.98,1.34,-9.66,0.38,0.35
HG20190711A,329.4192208,-80.35806944,0.5218,0,0.01,1949844600,934186903.4,853366403.6,0.1023292992,0.2444075512,0.07281720696,1.06,0.26,0.28,0.28,0.34,0.16,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.95,0.96,0.5,1258925412,519353998.2,517615170.5,3.54,0.96,1.36,-9.27,0.36,0.36
