Name,object_name,ra,dec,VLT_FORS2_I,VLT_FORS2_I_err,VLT_FORS2_R,VLT_FORS2_R_err,VLT_FORS2_g,VLT_FORS2_g_err,VLT_FORS2_u,VLT_FORS2_u_err,VLT_FORS2_z,VLT_FORS2_z_err,VLT_HAWKI_H,VLT_HAWKI_H_err,VLT_HAWKI_J,VLT_HAWKI_J_err,VLT_HAWKI_Ks,VLT_HAWKI_Ks_err
FRB20180924B,HG20180924B,326.1052266100424,-40.90023632341851,19.875487756220085,0.0049314223531819,-999.0,-999.0,21.230673297165765,0.0063606228375824,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20181112A,HG20181112A,327.3485504846616,-52.9709221143531,21.16537282738479,0.0131165041009466,-999.0,-999.0,22.342211321420542,0.0087116243044816,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20190102C,HG20190102C,322.4152656591998,-79.47573928684234,21.09942943612793,0.0175260202858963,-999.0,-999.0,22.58654415067277,0.0132677493217158,23.954901277492656,0.1783414388653209,20.833293750993747,0.0832701340974678,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20190608B,HG20190608B,334.0204490744306,-7.898893389751543,17.097007667597566,0.0062915710298206,-999.0,-999.0,18.16699544759928,0.0054517600465958,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20190611B,HG20190611B,320.7428906234068,-79.39729406351658,22.409460431172427,0.0497644303895833,23.03316859231098,0.0153319161158228,24.022991611646923,0.0271561029241168,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20190711A,HG20190711A,329.419507854821,-80.35813519114893,22.37512735351397,0.1045040111209501,-999.0,-999.0,23.86599801963716,0.0420685496710349,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20190714A,HG20190714A,183.979514643798,-13.021109553748746,19.61790253037138,0.0085420824530625,0.0,0.0,21.036824166334263,0.0057778348875806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRB20191001A,HG20191001A,323.35191699989105,-54.74852796235256,17.743356033250276,0.0060688330605538,-999.0,-999.0,19.103269764472536,0.0037607918985199,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20191228A,HG20191228A,344.4308224555552,-29.594285963574787,21.896313174384645,0.0657321135495212,-999.0,-999.0,23.368292101441448,-800.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
FRB20200430A,HG20200430A,229.70639648129875,12.376605083348943,20.60978047659799,0.0160398301825252,-999.0,-999.0,21.85636556342147,0.0076796238911687,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
