frb_name,sample,P_host,sed_done?,FRB_TNS_name,instrument,"host_loc (deg, deg)","host_loc (hms, dms)",redshift,redshift_err,lum_dist (Mpc),ra_proj_gal_dist (kpc),ra_proj_gal_dist_err (kpc),dec_proj_gal_dist (kpc),dec_proj_gal_dist_err (kpc),half_light_radius (arcsec),half_light_radius (kpc),proj_gal_dist (kpc),proj_gal_dist_errl (kpc),proj_gal_dist_erru (kpc),galex_NUV,galex_NUV_err,galex_FUV,galex_FUV_err,ps1_g,ps1_g_err,ps1_r,ps1_r_err,ps1_i,ps1_i_err,ps1_z,ps1_z_err,ps1_y,ps1_y_err,sdss_u0,sdss_u0_err,sdss_g0,sdss_g0_err,sdss_r0,sdss_r0_err,sdss_i0,sdss_i0_err,sdss_z0,sdss_z0_err,decam_g,decam_g_err,decam_r,decam_r_err,decam_z,decam_z_err,wasp_g0,wasp_g0_err,wasp_r0,wasp_r0_err,wasp_i0,wasp_i0_err,wasp_z0,wasp_z0_err,twomass_J,twomass_J_err,twomass_H,twomass_H_err,twomass_Ks,twomass_Ks_err,wirc_J,wirc_J_err,wirc_H,wirc_H_err,wirc_Ks,wirc_Ks_err,wise_w1,wise_w1_err,wise_w2,wise_w2_err,wise_w3,wise_w3_err,wise_w4,wise_w4_err,E(B-V),zred,zred_errl,zred_erru,logMstar,logMstar_errl,logMstar_erru,logmass,logmass_errl,logmass_erru,logzsol,logzsol_errl,logzsol_erru,Av_young,Av_young_errl,Av_young_erru,Av_old,Av_old_errl,Av_old_erru,gas_logu,gas_logu_errl,gas_logu_erru,sfr_20Myr,sfr_20Myr_errl,sfr_20Myr_erru,sfr_100Myr,sfr_100Myr_errl,sfr_100Myr_erru,ssfr,ssfr_errl,ssfr_erru,t_m,t_m_errl,t_m_erru,fagn,fagn_errl,fagn_erru,agn_tau,agn_tau_errl,agn_tau_erru,duste_qpah,duste_qpah_errl,duste_qpah_erru,M_r,M_r_errl,M_r_erru,g-r,g-r_errl,g-r_erru,u-r,u-r_errl,u-r_erru,log(nu*l_nu),log(nu*l_nu)_errl,log(nu*l_nu)_erru,dust2,dust2_errl,dust2_erru,dust1_fraction,dust1_fraction_errl,dust1_fraction_erru,duste_young,duste_young_errl,duste_young_erru,dust_index,dust_index_errl,dust_index_erru,t_age,t_age*ssfr,SF/G?,Line FWHM [A],normalization,Hbeta,Hbeta_err,Halpha,Halpha_err,[SII]6716,[SII]6716_err,[SII]6731,[SII]6731_err,[OIII]5007_d,[OIII]5007_d_err,[OI]6300_d,[OI]6300_d_err,[NII]6583_d,[NII]6583_d_err,[SII]_new,[SII]_new_err,plot1_prospector?,plot2_prospector?,plot3_prospector?,w1-w2,w1-w2_err,w2-w3,w2-w3_err,r_mag,r_err,m_r or m_J,m_r_err or m_J_err
mark,Gold,PS1/r 0.999,Y,FRB 20220319D,P-200/DBSP,"32.170259020, +71.035874990","02:08:40.86, 71:02:09.150",0.0112,0,48.86,-2.08,0.13,0.51,0.13,9.03,2.09,2.14,-0.21,0.23,-100,-100,-100,-100,13.63,0.02,13.25,0.01,13,0.01,12.81,0.01,12.45,0.01,14.2,0.14,13.67,0.02,13.19,0.01,12.95,0.01,12.67,0.02,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,12.53,0.02,12.35,0.02,12.55,0.02,-100,-100,-100,-100,-100,-100,12.91,0,13.42,0,12.16,0,12,0,0.81,0.01,0,0,10.1007,-0.0042,0.0022,10.2964,-0.0027,0.003,0.1868,-0.0034,0.0023,0.36,-0.07,0.08,0.34,-0.01,0.01,-3.2049,-0.0244,0.0131,0.3832,-0.0074,0.0063,0.4238,-0.0209,0.0222,0.0214,-0.0011,0.0011,6.1158,-0.0578,0.0652,0.01,0,0,73.73,-4.52,5.2,5.18,-0.44,0.3,-20.2413,-0.0926,0.1033,0.4372,-0.0034,0.0029,1.663,-0.0091,0.0092,9.9153,-0.0491,0.0347,0.2737,-0.0034,0.0049,0.4478,-0.0536,0.0856,0.122,-0.0137,0.0223,0.1963,-0.0243,0.0261,13.61,0.2917,T,8.24,1.00E-13,6.31E-14,4.96E-16,1.51E-13,3.46E-16,2.94E-14,3.39E-16,2.33E-14,3.37E-16,4.30E-14,6.27E-16,6.42E-15,4.68E-16,7.26E-14,4.79E-16,5.27E-14,6.75E-16,Y,Y,Y,0.1,0.03,3.37,0.03,13.25,0.01,13.25,0.01
mizu,Gold,BASS/r 0.987,Y,FRB 20231120A,Keck/LRIS,"143.984540350, 73.284945000","09:35:56.29, 73:17:05.80",0.0368,0,163.69,0.45,0.81,0.74,0.74,7.43,5.48,0.87,-0.6,1.36,-100,-100,-100,-100,16.08,0.01,15.39,0.01,15.11,0,14.86,0.01,14.6,0.01,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,16.18,0.21,15.41,0.21,14.86,0.2,-100,-100,-100,-100,-100,-100,-100,-100,14.44,0.04,14.35,0.06,14.3,0.05,-100,-100,-100,-100,-100,-100,15.43,0.01,15.97,0.01,14.7,0.02,13.81,0.07,0.04,0.04,0,0,10.3991,-0.0021,0.0022,10.6253,-0.003,0.003,-1.1168,-0.008,0.0077,0.5378,-0.0386,0.0237,0.7162,-0.0068,0.0068,-3.0118,-0.0212,0.0181,0.7017,-0.021,0.0139,0.4019,-0.025,0.0189,0.0095,-0.0006,0.0005,7.5409,-0.0754,0.1435,0.01,0,0,96.59,-15.37,24.62,0.75,-0.06,0.08,-20.4145,-0.0541,0.3837,0.8877,-0.0053,0.0032,2.694,-0.0199,0.0155,9.9143,-0.1604,0.0269,0.6595,-0.0063,0.0062,0.7501,-0.0549,0.0368,0.4952,-0.0355,0.0218,-0.831,-0.0299,0.0282,13.26,0.1262,T,8.28,1.00E-14,3.13E-15,3.14E-17,1.28E-14,3.00E-17,1.66E-15,2.97E-17,1.28E-15,2.96E-17,1.03E-15,4.06E-17,1.71E-16,3.91E-17,5.26E-15,4.16E-17,2.94E-15,5.93E-17,N,N,N,0.11,0.03,3.63,0.03,15.39,0.01,15.41,0.21
zach,Gold,PS1/r 0.969,Y,FRB 20220207C,Keck/LRIS,"310.197579, +72.882749","20:40:47.4189, +72:52:57.897",0.0433,0.0001,193.53,-1.78,0.54,1.31,0.47,4.18,3.6,2.21,-0.77,0.84,-100,-100,-100,-100,16.43,0.03,16.15,0.01,15.96,0.01,15.77,0.01,15.67,0.02,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,15.45,0.04,-99,-99,-100,-100,-100,-100,-100,-100,16.43,0.01,17.1,0.03,15.84,0.11,15.14,0.46,0.81,0.04,0,0,9.9481,-0.0331,0.0306,10.1454,-0.0307,0.0326,-0.6955,-0.0517,0.0594,0.1078,-0.0215,0.0324,0.0956,-0.0181,0.0233,-3.2351,-0.0225,0.0245,0.4885,-0.0161,0.0247,0.7124,-0.1347,0.1244,0.0506,-0.0106,0.011,6.1204,-0.4781,0.4527,0,0,0,46.76,-29.7,53.66,3.24,-0.95,0.8,-20.3282,-0.2077,0.173,0.3753,-0.0114,0.0141,2.6975,-0.0224,0.0202,9.9688,-0.0723,0.0805,0.088,-0.0167,0.0215,1.1431,-0.1998,0.2404,0.0993,-0.0198,0.0298,-0.2695,-0.3485,0.3221,13.18,0.6665,SF,7.06,1.00E-13,6.97E-14,9.29E-16,1.64E-13,6.62E-16,2.45E-14,6.34E-16,1.91E-14,6.34E-16,1.10E-13,1.17E-15,5.81E-15,8.75E-16,1.82E-14,8.27E-16,4.36E-14,1.27E-15,Y,Y,Y,0.15,0.05,3.65,0.07,16.15,0.01,16.15,0.01
jackie,Gold,BASS/r 0.969,Y,FRB 20220509G,Keck/LRIS,"282.674784770, +70.242733870","18:50:41.9158, +70:14:33.951",0.0894,0,412.95,9.54,3.71,-6.49,2.53,4.93,8.31,11.54,-5.02,5.76,19.93,0.07,21.05,0.16,17.2,0.02,16.51,0.01,16.24,0.01,16.11,0.01,15.87,0.02,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,17.26,0.21,16.51,0.21,16.05,0.19,-100,-100,-100,-100,-100,-100,-100,-100,15.67,0.04,15.68,0.04,15.8,0.05,-100,-100,-100,-100,-100,-100,16.48,0.01,17.08,0.02,16.55,0.03,15.84,0.23,0.06,0.09,0,0,10.7008,-0.0092,0.0128,10.9247,-0.0103,0.0131,-0.5825,-0.039,0.03,0.0531,-0.0172,0.0268,0.0496,-0.0155,0.0184,-3.7383,-0.0819,0.0687,0.274,-0.0126,0.0137,0.2542,-0.0396,0.0661,0.003,-0.0004,0.0008,7.7536,-0.1764,0.1795,0.04,-0.01,0.01,124.17,-22.9,17.46,3.99,-1.69,1.07,-21.3958,-0.0496,0.1082,0.7236,-0.0052,0.0051,2.1637,-0.0068,0.0166,10.3512,-0.0471,0.0186,0.0457,-0.0143,0.0169,1.1249,-0.2254,0.2038,0.0489,-0.0158,0.0247,-0.051,-0.315,0.2763,12.58,0.0379,Q,12.48,1.00E-16,2.29E-16,1.67E-18,6.24E-16,1.53E-18,1.85E-16,1.58E-18,1.62E-16,1.57E-18,8.70E-17,2.16E-18,4.56E-17,1.93E-18,2.73E-16,2.06E-18,3.47E-16,3.15E-18,Y,Y,Y,0.13,0.03,2.89,0.05,16.51,0.01,16.51,0.21
leonidas,Gold,BASS/r 0.999,Y,FRB 20230124A,Keck/DEIMOS,"231.915836640, +70.968226560","15:27:39.800, +70:58:05.620",0.0939,0.0002,435.08,-2.41,1.76,0.9,1.23,0.87,1.53,1.14,-0.81,3.73,-100,-100,-100,-100,19.37,0.05,19.18,0.03,18.85,0.04,18.75,0.05,18.73,0.07,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,19.59,0.2,19.1,0.2,18.67,0.19,-100,-100,-100,-100,-100,-100,-100,-100,18.49,0.1,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,18.06,0.03,-99,-99,-99,-99,-99,-99,0.02,0.09,0,0,9.461,-0.0028,0.0035,9.679,-0.0064,0.0071,-0.6056,-0.014,0.0111,0.0006,-0.0004,0.0007,0.028,-0.005,0.0043,-3.4177,-0.0039,0.0053,0.0908,-0.0008,0.0007,0.7524,-0.0381,0.0406,0.1576,-0.0098,0.0101,6.8462,-0.0663,0.0629,0.28,-0.01,0.01,6.95,-0.4,0.42,2.21,-1.07,1.39,-18.989,-0.1175,0.1276,0.4338,-0.0014,0.0017,1.4134,-0.0133,0.0175,9.4298,-0.0544,0.0429,0.0258,-0.0046,0.0039,0.0218,-0.0158,0.0271,0.0005,-0.0004,0.0007,-0.3231,-0.2154,0.1791,12.53,1.9742,SF,4.78,1.00E-14,1.77E-14,9.02E-16,4.35E-14,6.12E-16,1.02E-14,5.97E-16,8.03E-15,5.93E-16,9.30E-15,1.12E-15,2.43E-15,8.34E-16,1.80E-14,8.13E-16,1.82E-14,1.19E-15,N,N,N,0.12,0.06,3.43,0.17,19.18,0.03,19.10,0.20
elektra,Gold,BASS/r 0.974,Y,FRB 20220914A,Keck/LRIS,"282.0582, 73.3363","18:48:13.97, +73:20:10.68",0.1139,0,534.94,3.06,1.94,-4.62,1.53,1.07,2.24,5.54,-2.51,2.94,-100,-100,-100,-100,20.55,0.04,20.05,0.04,19.8,0.03,19.73,0.02,-99,-99,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,20.69,0.2,20.2,0.19,19.7,0.18,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,18.88,0.09,19.41,0.13,18.28,0.27,-99,-99,0.08,0.11,0,0,9.2428,-0.0406,0.0784,9.4332,-0.058,0.0732,-0.4366,-0.1151,0.0806,0.7096,-0.1229,0.1453,0.5838,-0.1131,0.1521,-3.3081,-0.0364,0.2116,0.2496,-0.0499,0.0644,0.4635,-0.0579,0.0512,0.17,-0.028,0.0258,4.5514,-0.2831,0.2878,0.1,-0.02,0.03,11.95,-4.7,5.57,1.43,-0.59,0.81,-18.4359,-0.3079,0.2626,0.5623,-0.0225,0.0225,1.7495,-0.0831,0.0732,9.189,-0.1033,0.1241,0.5376,-0.1042,0.14,1.2112,-0.1541,0.1772,0.6534,-0.1131,0.1338,-0.1761,-0.2889,0.3506,12.28,2.0884,SF,8.64,1.00E-14,6.44E-15,3.89E-16,2.22E-14,3.12E-16,4.13E-15,3.09E-16,3.26E-15,3.08E-16,7.14E-15,4.92E-16,7.95E-16,4.11E-16,8.05E-15,4.95E-16,7.39E-15,6.17E-16,Y,Y,Y,0.27,0.12,3.37,0.45,20.05,0.04,20.20,0.19
tildis,Gold,BASS/r 0.953,Y,FRB 20230628A,Keck/DEIMOS,"282.0582, 73.3363","11:07:08.7223, +72:16:53.014",0.127,0.0001,601.66,-0.92,3.21,-3.73,2.3,1.06,2.43,3.85,-2.55,4.56,22.15,0.19,22.09,0.19,20.7,0.04,20.15,0.04,19.88,0.03,19.79,0.02,19.49,0.08,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,20.46,0.2,19.94,0.2,19.53,0.19,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,20.14,0.03,20.35,0.05,-99,-99,-99,-99,0.04,0.13,0,0,9.2922,-0.0305,0.0315,9.4952,-0.0342,0.0407,-0.8079,-0.1392,0.1778,0.2188,-0.0777,0.0892,0.201,-0.0706,0.0679,-3.4826,-0.0378,0.045,0.1415,-0.0138,0.0158,0.1358,-0.0323,0.0377,0.0432,-0.011,0.0129,4.8164,-0.4993,0.5623,0.05,-0.02,0.03,25.26,-10.58,19.26,2.14,-1.03,1.19,-18.7049,-0.2418,0.2295,0.4937,-0.0184,0.0163,1.6088,-0.0463,0.0303,9.3126,-0.0882,0.0827,0.1851,-0.065,0.0625,1.1462,-0.2289,0.2097,0.2015,-0.0716,0.0821,-0.1311,-0.2309,0.2329,12.13,0.5239,SF,6.25,1.00E-14,8.44E-15,1.33E-17,2.02E-14,9.04E-18,5.60E-15,8.79E-18,4.56E-15,8.76E-18,4.89E-15,1.65E-17,1.42E-15,1.23E-17,7.55E-15,1.27E-17,1.02E-14,1.76E-17,N,N,N,0.27,0.12,3.37,0.45,20.15,0.04,19.94,0.20
etienne,Gold,BASS/r 0.985,Y,FRB 20220920A,P-200/DBSP,"240.2568, 70.9180","16:01:01.6337, +70:55:05.050",0.1582,0.0002,764.62,-0.9,2.82,-7.27,1.66,1.65,4.56,7.32,-2.4,2.97,-100,-100,-100,-100,19.59,0.07,19.46,0.03,18.96,0.06,18.99,0.05,18.54,0.07,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,19.65,0.2,19.43,0.2,19.05,0.19,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,18.15,0.03,18.52,0.04,16.9,0.06,-99,-99,0.03,0.16,0,0,9.867,-0.0109,0.0125,10.0586,-0.0157,0.0155,-0.3712,-0.081,0.0733,0.474,-0.0933,0.0915,0.5576,-0.028,0.0319,-3.2382,-0.0654,0.0589,0.4197,-0.04,0.0444,1.6179,-0.2147,0.202,0.1414,-0.0195,0.0187,4.2681,-0.2873,0.2732,0.1,-0.01,0.01,5.34,-0.24,0.36,5.24,-0.63,0.76,-20.0239,-0.4155,0.1109,0.5319,-0.0069,0.0061,1.5244,-0.0232,0.0156,9.8468,-0.043,0.1543,0.5134,-0.0258,0.0293,0.854,-0.1681,0.149,0.4365,-0.0859,0.0842,0.3846,-0.0164,0.0106,11.77,1.664,SF,7.06,1.00E-15,5.96E-16,1.34E-17,1.64E-15,9.20E-18,3.63E-16,8.98E-18,2.82E-16,8.96E-18,6.42E-16,1.67E-17,7.69E-17,1.23E-17,4.40E-16,1.21E-17,6.45E-16,1.79E-17,N,N,N,0.4,0.05,3.87,0.08,19.46,0.03,19.43,0.20
nina,Gold,PS1/r 0.987,Y,FRB 20221101B,P-200/DBSP,"342.215476110, +70.680470450","22:48:51.7143, +70:40:49.694",0.2395,0.0026,"1,214.93",-1.44,3.83,-14.2,2.68,1.24,4.75,10.16,-5.1,6.23,-100,-100,-100,-100,19.08,0.12,18.81,0.04,18.4,0.05,18.27,0.02,17.98,0.03,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,17.16,0.18,-99,-99,16.77,0.17,-100,-100,-100,-100,-100,-100,16.91,0.02,17.34,0.05,17.22,0.24,15.89,0.25,0.52,,0.24,0,11.2065,-0.0178,0.0269,11.4104,-0.0195,0.0238,0.1309,-0.0737,0.0432,0.8828,-0.3353,0.2421,1.4994,-0.0464,0.0589,-3.0153,-0.2556,0.3018,2.8543,-0.6845,0.6844,12.2665,-4.3058,4.714,0.0477,-0.0168,0.0177,5.4895,-0.2425,0.3257,0,0,0,27.48,-15.58,48.06,0.73,-0.15,0.17,-21.152,-0.1043,0.2967,1.094,-0.0378,0.021,2.4183,-0.1061,0.0867,10.2142,-0.1284,0.0479,1.3807,-0.0427,0.0542,0.589,-0.2276,0.1671,0.8129,-0.3087,0.223,0.3794,-0.0241,0.0142,10.9,0.5195,SF,7.06,1.00E-17,8.96E-18,3.79E-18,3.44E-17,3.41E-18,5.46E-18,3.40E-18,4.37E-18,3.39E-18,1.01E-17,4.95E-18,4.03E-19,4.42E-18,1.30E-17,4.43E-18,9.83E-18,6.79E-18,N,N,N,0.4,0.04,2.56,0.1,18.81,0.04,18.81,0.04
ansel,Gold,PS1/r 0.993,Y,FRB 20220825A,Keck/LRIS,"311.9817, 72.5851","20:47:55.6, +72:35:06.5",0.2414,0.0001,"1,225.88",0.9,3.01,2.35,2.66,1.07,4.12,2.52,-1.76,4.86,19.82,0.08,-100,-100,21.36,0.1,20.74,0.16,20.34,0.03,19.97,0.07,19.56,0.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99,-99,-99,-99,-99,-99,-100,-100,-100,-100,-100,-100,18.8,0.09,18.98,0.1,17.72,0.3,-99,-99,0.54,0.24,0,0,10.0083,-0.0572,0.0617,10.213,-0.0648,0.0629,0.0945,-0.0828,0.0524,1.5357,-0.2098,0.2639,1.5014,-0.0675,0.06,-3.289,-0.053,0.1054,9.6163,-2.0005,2.6812,7.9097,-0.9359,1.2597,0.3086,-0.0682,0.0865,5.1451,-0.3097,0.323,0,0,0,39.02,-16.22,22.59,0.78,-0.2,0.35,-19.3519,-0.3898,0.7594,0.7642,-0.018,0.0446,1.5826,-0.0619,0.089,9.5325,-0.3266,0.1568,1.3825,-0.0621,0.0552,1.0319,-0.1446,0.155,1.4141,-0.1932,0.243,0.3726,-0.0341,0.0197,10.88,3.3571,SF,8.57,1.00E-16,2.08E-16,5.91E-18,1.14E-15,5.01E-18,1.07E-16,4.98E-18,8.39E-17,4.96E-18,2.38E-16,7.57E-18,2.66E-17,6.52E-18,5.38E-17,8.00E-18,1.91E-16,9.94E-18,Y,Y,Y,0.58,0.07,3.88,0.11,20.74,0.16,20.74,0.16
