,Unnamed: 0,Name,ra,dec,galex_NUV,galex_NUV_err,galex_FUV,galex_FUV_err,Pan-STARRS_g,Pan-STARRS_g_err,Pan-STARRS_r,Pan-STARRS_r_err,Pan-STARRS_i,Pan-STARRS_i_err,Pan-STARRS_z,Pan-STARRS_z_err,Pan-STARRS_y,Pan-STARRS_y_err,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,DECam_g,DECam_g_err,DECam_r,DECam_r_err,DECam_z,DECam_z_err,WASP_g,WASP_g_err,WASP_r,WASP_r_err,WASP_i,WASP_i_err,WASP_z,WASP_z_err,2MASS_J,2MASS_J_err,2MASS_H,2MASS_H_err,2MASS_K,2MASS_K_err,WIRC_J,WIRC_J_err,WIRC_H,WIRC_H_err,WIRC_K,WIRC_K_err,WISE_W1,WISE_W1_err,WISE_W2,WISE_W2_err,WISE_W3,WISE_W3_err,WISE_W4,WISE_W4_err
0,0,HG20220319D,32.17025902,71.03587499,-999.0,-999.0,-999.0,-999.0,13.63,0.02,13.25,0.01,13.0,0.01,12.81,0.01,12.45,0.01,14.2,0.14,13.67,0.02,13.19,0.01,12.95,0.01,12.67,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.53,0.02,12.35,0.02,12.55,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.91,0.0,13.42,0.0,12.16,0.0,12.0,0.0
1,1,HG20231120A,143.98454035,73.284945,-999.0,-999.0,-999.0,-999.0,16.08,0.01,15.39,0.01,15.11,0.0,14.86,0.01,14.6,0.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.18,0.21,15.41,0.21,14.86,0.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.44,0.04,14.35,0.06,14.3,0.05,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.43,0.01,15.97,0.01,14.7,0.02,13.81,0.07
2,2,HG20220207C,310.197579,72.882749,-999.0,-999.0,-999.0,-999.0,16.43,0.03,16.15,0.01,15.96,0.01,15.77,0.01,15.67,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.45,0.04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.43,0.01,17.1,0.03,15.84,0.11,15.14,0.46
3,3,HG20220509G,282.67478477,70.24273387,19.93,0.07,21.05,0.16,17.2,0.02,16.51,0.01,16.24,0.01,16.11,0.01,15.87,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.26,0.21,16.51,0.21,16.05,0.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.67,0.04,15.68,0.04,15.8,0.05,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.48,0.01,17.08,0.02,16.55,0.03,15.84,0.23
4,4,HG20230124A,231.91583664,70.96822656,-999.0,-999.0,-999.0,-999.0,19.37,0.05,19.18,0.03,18.85,0.04,18.75,0.05,18.73,0.07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.59,0.2,19.1,0.2,18.67,0.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.49,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.06,0.03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
5,5,HG20220914A,282.0582,73.3363,-999.0,-999.0,-999.0,-999.0,20.55,0.04,20.05,0.04,19.8,0.03,19.73,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.69,0.2,20.2,0.19,19.7,0.18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.88,0.09,19.41,0.13,18.28,0.27,-999.0,-999.0
6,6,HG20230628A,166.786343,72.281393,22.15,0.19,22.09,0.19,20.7,0.04,20.15,0.04,19.88,0.03,19.79,0.02,19.49,0.08,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.46,0.2,19.94,0.2,19.53,0.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.14,0.03,20.35,0.05,-999.0,-999.0,-999.0,-999.0
7,7,HG20220920A,240.2568,70.918,-999.0,-999.0,-999.0,-999.0,19.59,0.07,19.46,0.03,18.96,0.06,18.99,0.05,18.54,0.07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.65,0.2,19.43,0.2,19.05,0.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.15,0.03,18.52,0.04,16.9,0.06,-999.0,-999.0
8,8,HG20221101B,342.21547611,70.68047045,-999.0,-999.0,-999.0,-999.0,19.08,0.12,18.81,0.04,18.4,0.05,18.27,0.02,17.98,0.03,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.16,0.18,-999.0,-999.0,16.77,0.17,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.91,0.02,17.34,0.05,17.22,0.24,15.89,0.25
9,9,HG20220825A,311.9817,72.5851,19.82,0.08,-999.0,-999.0,21.36,0.1,20.74,0.16,20.34,0.03,19.97,0.07,19.56,0.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.8,0.09,18.98,0.1,17.72,0.3,-999.0,-999.0
