,FRB,P(O),P(O|x)
0,FRB20121102,0.024496530030576214,1.0
1,FRB20180301,0.11986380820215121,0.9999999247559344
2,FRB20180916,0.8200085265552801,1.0
3,FRB20180924,0.8722547346624714,0.9893637867384301
4,FRB20181112,0.0783770354826136,0.6677998206143412
5,FRB20190102,0.8424699610621368,0.9999833871013306
6,FRB20190523,0.19736559046974703,0.8153654141782407
7,FRB20190608,0.992978369522823,1.0
8,FRB20190611,0.3321634553436092,0.9740602642747339
9,FRB20190711,0.4781742742270584,0.9937243150925861
10,FRB20190714,0.7993368626047533,0.9999999999999994
11,FRB20191001,0.5074698320782771,0.5979700448655884
12,FRB20191228,0.14929352217985503,0.9999999998175534
13,FRB20200430,0.9379311778320297,1.0
14,FRB20200906,0.8996752508964455,1.0
15,FRB20201124,1.0,1.0
