,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_R,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
8,9,66.61293684334262,63.54933840380622,,62,72,59,68,90.0,2.204877616154807,1.9765074578578565,-13.720729954280593,0.4431954266487382,0.0013155882070350344,3.466534480383558,0.0,95.14678875942926,,98.50780011436837,,23.089644720336892,1.499646456877303,320.7428196799071,-79.39726875305385,2.1525606292339567,0.5556291592710113,0.08087017375462446,0.00241883229814004,23.089644720336892,0.3339960489232157,0.022425494224836237,0.9434006503315043,0.03148856197581552,0.1
5,6,63.48287934543313,46.76218254159421,,61,65,44,49,19.0,1.2491126982181207,0.9654588491000003,-57.60012492476076,0.6345086911457186,0.2203560360375576,0.9295329256311646,0.0,9.425295320389253,,12.67982632966541,,25.599892641675154,1.499608441019361,320.7439776257244,-79.3984439949146,3.2758367412825753,0.3147763999509664,0.5826958534003625,0.017007754611183167,25.599892641675154,0.04750071064968369,0.0027551602133182103,0.016483892907360607,0.03148856197581552,0.1
9,10,48.55919618228479,65.32189809804278,,47,50,64,67,10.0,1.1142719062384494,0.7984305318505287,-45.281347719622616,0.6975366563335339,0.07170375584010458,0.6476724043318711,0.0,3.239824063680601,,8.587880638963249,,26.759326491507615,2.4824902428647184,320.7496857391427,-79.39715103394208,3.1314931198792424,0.28079652037208924,0.8349903801277084,0.03736139176114541,26.759326491507615,0.021623402997176445,0.0030059023980243235,0.008186753916840891,0.03148856197581552,0.1
7,8,78.53944945083427,58.10623914503388,,76,82,55,61,40.0,1.5613200083715377,1.289633561736514,-61.11991243632307,0.563685851134125,0.05127454473220894,1.9959042378865348,0.0,31.89020512385406,,37.533310091749335,,24.276486776708733,1.5714622590251721,320.7382755260212,-79.39764524367891,4.845595321921535,0.3934526421096275,0.4428185304396882,0.0063478240813775256,24.276486776708733,0.127268875165696,2.2889813644626857e-05,0.0003669249820319616,0.03148856197581552,0.1
6,7,38.07064340013447,54.335890907369546,,34,41,51,58,45.0,2.2468372210736067,1.5706354834837966,-59.755939640763295,0.7150797862630512,0.0783146970737647,0.8330495155332471,0.0,17.89474927841374,,24.531334743101883,,24.903816013722412,1.4,320.7536525345082,-79.397922998271,5.4828635516658695,0.5662029797105489,0.6919226537585292,0.010247441020908132,24.903816013722412,0.07883728522450578,7.373079126828699e-06,7.321387182185561e-05,0.03148856197581552,0.1
17,18,81.87036594365122,41.38965802749923,,81,83,40,43,11.0,1.100682439337776,0.6470132541801207,-61.22534459867015,0.8089850782456367,0.12613215546835477,0.6212825306308218,0.0,4.307290120598651,,9.381384650092317,,26.450119746093936,2.044912895054707,320.73697679246726,-79.39881326349389,7.218007643001519,0.2773719747131196,0.9960029888871796,0.030497724165146633,26.450119746093936,0.026489859578108982,5.902594397864255e-10,1.9694067242620804e-09,0.03148856197581552,0.1
16,17,88.30482363183656,41.8247601844048,,84,91,39,45,35.0,1.6416970102433475,1.2998536397762417,-0.8185552480190436,0.6108136574215894,0.1177537521243579,1.2275387600915195,0.0,19.41332743592676,,22.454852158541307,,24.81538010936305,1.6844433136402328,320.73453136970494,-79.39878051921413,8.494645221029955,0.4137076465813236,0.9048543410416947,0.009590771241436799,24.81538010936305,0.08423518925112075,3.793910944526692e-12,4.025256011620648e-11,0.03148856197581552,0.1
4,5,29.408555663276317,37.718760700949204,,26,33,34,41,48.0,1.92335678796461,1.618282918578001,-42.492579276406346,0.5404367077887721,0.1815281565004483,1.1735574805608877,0.0,26.315897110841618,,31.648744231705304,,24.485084609159873,1.4,320.75691529464314,-79.39908816257858,9.256382826265279,0.48468591056708177,0.8838606688263366,0.007461255180668528,24.485084609159873,0.10827674580542214,3.630816700422881e-13,4.951677347433719e-12,0.03148856197581552,0.1
10,11,95.28590044431893,67.59548950004397,,93,97,66,70,17.0,1.2254638367227702,0.9368033650169307,-49.6784944025874,0.6446854060780646,0.1394266373528552,0.9584986421938169,0.0,8.832197523610532,,15.936770218543929,,25.670458125818765,2.4902107271576126,320.7319282604619,-79.39697550636706,9.305917974444204,0.3088168868541381,0.9943670960031887,0.017878329100009225,25.670458125818765,0.04518769209736822,2.0826451663533577e-15,1.185354526762733e-14,0.03148856197581552,0.1
3,4,81.96433748395478,28.211332010595278,,80,84,27,30,12.0,1.1151265546030271,0.7626411496788162,-29.93249497912612,0.7295706333398677,0.17126050859076258,0.5726966005859282,0.0,4.328558991643504,,16.697907453501138,,26.44477170684081,3.0049512594954835,320.73691542827106,-79.39973496248768,9.641336553603765,0.28101189175996283,0.9999176017315964,0.03038950674200395,26.44477170684081,0.026584190307702295,6.11721480349428e-16,2.048283125264947e-15,0.03148856197581552,0.1
