,FRB,RA,Dec,ang_size,P_O,P_Ox,P_U,separation
0,FRB20121102A,82.99452437862536,33.147910481789545,0.2885758727169785,0.024542323609454846,1.0,1.0,0.2083350766610997
1,FRB20180301A,93.22685215120076,4.670374758737337,0.9231357434828034,0.11965789852504793,0.999999939281293,0.999999939281293,2.4518003484755826
2,FRB20180916B,29.501209381525246,65.71475952532369,3.0567984614921313,0.8172460378836965,1.0,1.0,7.721084597742771
3,FRB20180924B,326.1052346056917,-40.9002503601085,1.1019933856266286,0.9777093494565605,1.0,1.0,0.8014233880254467
4,FRB20181112A,327.34867753765786,-52.970933890776436,0.9345161943129032,0.09019364073802826,0.6096268296351608,0.6096268296351608,0.4768202909663269
5,FRB20190102C,322.4151662875768,-79.4757705690851,1.0255599398275566,0.7662961039493006,0.9999518272202289,0.9999518272202289,0.4282311215653791
6,FRB20190523A,207.06423733263392,72.4706374810077,0.6985700500430327,0.19737811246312661,0.8166172791836742,0.8166172791836742,3.3971348611022294
7,FRB20190608B,334.02041825946833,-7.898838833010753,1.6590093651446516,0.9941148662264033,1.0,1.0,2.8716220620784
8,FRB20190611B,320.7428921056028,-79.39729824674087,0.5497684738850248,0.2961734715092857,0.8155121846392525,0.8155121846392525,2.0569293051931763
9,FRB20190711A,329.41945621534296,-80.35812086986233,0.4606323715977828,0.00552417541580802,0.9999999837391595,0.9999999837391595,0.4525483934844593
10,FRB20190714A,183.97951586096622,-13.021122330089181,0.9329594602762531,0.7996005869458854,1.0,1.0,0.8059297052925707
11,FRB20191001A,323.351890501278,-54.748549774025534,1.3520618017977095,0.5081260684403605,0.9790425548873961,0.9790425548873961,1.2119117754569662
12,FRB20191228A,344.4308258177926,-29.594293020385074,0.3060685573041589,0.010408364683137314,0.9999998753366729,0.9999998753366729,1.486610477034955
13,FRB20200430A,229.70637037338844,12.376614909277201,0.6941303938356082,0.9638707665168962,1.0,1.0,0.5128839336355315
14,FRB20200906A,53.49579979366633,-14.083197933724895,1.424018234873246,0.9767539173276807,1.0,1.0,1.2821357900520496
15,FRB20201123A,263.65963,-50.76407,1.75,0.8372987032018296,0.8313663923696629,0.8313663923696629,27.790393771010123
16,FRB20201124A,77.01447811870108,26.060540216942794,0.9400334125968202,1.0,1.0,1.0,0.7140777226063287
17,FRB20210117A,339.97945484607465,-16.151495552235264,0.514399186457401,0.5786048155617824,0.9999999999999895,0.9999999999999895,0.9435872615430253
18,FRB20210320C,204.4588566406424,-16.12257010829605,1.0219507723888868,0.9145765585495927,0.9992034420241261,0.9992034420241261,0.464262261989421
19,FRB20210410D,326.0862490995804,-79.31797828960566,0.828558883468678,0.1611222930934961,0.9159258225827236,0.9159258225827236,0.7765576521050795
20,FRB20210807D,299.2200725246253,-0.7623345428801525,2.328159748702251,0.7667559652057307,0.9999997848912453,0.9999997848912453,4.898203934007391
21,FRB20211127I,199.80817403987365,-18.837880938788892,5.072747922053849,0.2842251050413436,0.9954329942028227,0.9954329942028227,2.160695519556528
22,FRB20211203C,204.56259366244794,-31.380139868868962,0.8913164104301479,0.8765726672114499,0.9999979324192537,0.9999979324192537,0.5382094117997103
23,FRB20211212A,157.3509423864997,1.3608055120435203,2.7216526504445033,1.0,1.0,1.0,1.4647052864124477
24,FRB20220105A,208.8038104849137,22.466510463007687,0.9005801018990652,0.5693783139788885,0.9999806234029671,0.9999806234029671,1.8101399582568198
25,FRB20220501C,352.37920651466686,-32.49070785950915,0.8972756021321489,1.0,1.0,1.0,0.1723631023194259
26,FRB20220610A,351.07347246259326,-33.5137315678269,1.0161950680383318,0.2782448930851077,0.9999999997556529,0.9999999997556529,0.7381503038071747
27,FRB20220725A,353.3153705212649,-35.99026217646761,1.7333801895870775,0.9977312752931107,1.0,1.0,0.4502539288785031
28,FRB20220918A,17.591728402792835,-70.81139693372702,0.4506147372532915,0.07699186168225439,0.9965207328261183,0.9965207328261183,0.4939986198573198
29,FRB20221106A,56.70445126053566,-25.56962772605783,2.501868300623605,0.9446418802862373,0.9707858407774324,0.9707858407774324,1.330925741805669
30,FRB20230526A,22.232610424599972,-52.7174717668937,0.7843474616505142,0.5445138524557286,0.9970402834428252,0.9970402834428252,0.5071708418746682
31,FRB20230708A,303.1155412321835,-55.356310006075276,0.5795786319161731,0.08730499540148982,0.9999679121106275,0.9999679121106275,0.14465319293669
32,FRB20230902A,52.13998285101902,-47.333454169525986,0.6752207409410768,0.6516550641135389,0.9999995651748149,0.9999995651748149,0.5391413936142618
33,FRB20231226A,155.36387205291925,6.109724485068839,1.7931261802313803,0.9394037709537749,0.9999999999999958,0.9999999999999958,1.9858358069185424
34,FRB20240201A,149.907181924911,14.087250218375011,0.7151181217831004,1.0,1.0,1.0,6.25482833523294
35,FRB20240210A,8.777042953129637,-28.272124531852874,6.418725585670465,0.8424804850657532,0.9999999976765938,0.9999999976765938,9.424195069130205
36,FRB20240304A,136.3304995323122,-16.166225289678643,0.9665514164725243,1.0,1.0,1.0,1.8420719576747175
37,FRB20240310A,17.621863324361,-44.43931524173128,1.0603087820456822,0.7636939937812456,0.9884349210673764,0.9884349210673764,0.3869003416008781
