z	m_r(L*)	m_r(0.1L*)	m_r(0.01L*)
0.02	14.3354	16.8354	19.3354
0.05	15.3354	17.8354	20.3354
0.089899	17.3708	19.8708	22.3708
0.129798	18.3882	20.8882	23.3882
0.169697	18.9821	21.4821	23.9821
0.209596	19.3954	21.8954	24.3954
0.249495	19.5869	22.0869	24.5869
0.289394	19.7069	22.2069	24.7069
0.329293	19.9462	22.4462	24.9462
0.369192	20.2042	22.7042	25.2042
0.409091	20.4209	22.9209	25.4209
0.44899	20.5819	23.0819	25.5819
0.488889	20.7193	23.2193	25.7193
0.528788	20.8826	23.3826	25.8826
0.568687	21.0458	23.5458	25.9458
0.608586	21.0565	23.5565	26.0565
0.648485	21.0632	23.6162	26.1162
0.688384	21.0643	23.6243	26.1243
0.728283	21.1364	23.6364	26.1364
0.768182	21.2542	23.7542	26.2542
0.808081	21.3729	23.8729	26.3729
0.84798	21.5193	24.0193	26.5193
0.887879	21.6589	24.1589	26.6589
0.927778	21.7669	24.2669	26.7669
0.967677	21.8581	24.3581	26.8581
1.00758	21.9303	24.4303	26.9303
1.04747	21.9384	24.4384	26.9384
1.08737	21.9421	24.4421	26.9421
1.12727	22.0461	24.5461	27.0461
1.16717	22.1945	24.6945	27.1945
1.20707	22.3394	24.8394	27.3394
1.24697	22.481	24.981	27.481
1.28687	22.6195	25.1195	27.6195
1.32677	22.7077	25.2077	27.7077
1.36667	22.7698	25.2698	27.7698
1.40657	22.8293	25.3293	27.8293
1.44646	22.8864	25.3864	27.8864
1.48636	22.9413	25.4413	27.9413
1.52626	22.9955	25.4955	27.9955
1.56616	23.0484	25.5484	28.0484
1.60606	23.0994	25.5994	28.0994
1.64596	23.1486	25.6486	28.1486
1.68586	23.196	25.696	28.196
1.72576	23.3163	25.8163	28.3163
1.76566	23.4759	25.9759	28.4759
1.80556	23.634	26.134	28.634
1.84545	23.7907	26.2907	28.7907
1.88535	23.9461	26.4461	28.9461
1.92525	24.0288	26.5288	29.0288
1.96515	24.0689	26.5689	29.0689
2.00505	24.108	26.608	29.108
2.04495	24.1466	26.6466	29.1466
2.08485	24.1841	26.6841	29.1841
2.12475	24.2206	26.7206	29.2206
2.16465	24.2561	26.7561	29.2561
2.20455	24.2867	26.7867	29.2867
2.24444	24.2855	26.7855	29.2855
2.28434	24.2834	26.7834	29.2834
2.32424	24.2805	26.7805	29.2805
2.36414	24.2767	26.7767	29.2767
2.40404	24.2722	26.7722	29.2722
2.44394	24.267	26.767	29.267
2.48384	24.261	26.761	29.261
2.52374	24.2762	26.7762	29.2762
2.56364	24.3056	26.8056	29.3056
2.60354	24.3343	26.8343	29.3343
2.64343	24.3624	26.8624	29.3624
2.68333	24.3899	26.8899	29.3899
2.72323	24.4171	26.9171	29.4171
2.76313	24.4441	26.9441	29.4441
2.80303	24.4705	26.9705	29.4705
2.84293	24.4963	26.9963	29.4963
2.88283	24.5217	27.0217	29.5217
2.92273	24.5466	27.0466	29.5466
2.96263	24.571	27.071	29.571
3.00253	24.5949	27.0949	29.5949
3.04242	24.619	27.119	29.619
3.08232	24.6425	27.1425	29.6425
3.12222	24.6657	27.1657	29.6657
3.16212	24.6885	27.1885	29.6885
3.20202	24.7108	27.2108	29.7108
3.24192	24.7328	27.2328	29.7328
3.28182	24.7543	27.2543	29.7543
3.32172	24.7758	27.2758	29.7758
3.36162	24.797	27.297	29.797
3.40152	24.8179	27.3179	29.8179
3.44141	24.8384	27.3384	29.8384
3.48131	24.8586	27.3586	29.8586
3.52121	24.9041	27.4041	29.9041
3.56111	24.9718	27.4718	29.9718
3.60101	25.0391	27.5391	30.0391
3.64091	25.1062	27.6062	30.1062
3.68081	25.173	27.673	30.173
3.72071	25.2148	27.7148	30.2148
3.76061	25.2334	27.7334	30.2334
3.80051	25.2518	27.7518	30.2518
3.8404	25.2699	27.7699	30.2699
3.8803	25.2877	27.7877	30.2877
3.9202	25.3052	27.8052	30.3052
3.9601	25.3226	27.8226	30.3226
4	25.3396	27.8396	30.3396
