# Redshift evolution of the volume-averaged He III fraction
# considering AGN with M_{1450} < -18 and M_{1450} < -18 from the
# model presented in Kulkarni, Worseck, and Hennawi 2018
# (arXiv:1807.09774 [astro-ph.GA]), Figure 11.
#
# Column 1: z
# Column 2: Q_HeIII with M_{1450} < -18 AGN
# Column 3: Lower bound on column 2 (68.26% equal-tailed credible interval)
# Column 4: Upper bound on column 2 (68.26% equal-tailed credible interval)
# Column 5: Q_HeIII with M_{1450} < -21 AGN 
# Column 6: Lower bound on column 5 (68.26% equal-tailed credible interval)
# Column 7: Upper bound on column 5 (68.26% equal-tailed credible interval)
z         Q_HeIII_18  Q_HeIII_18_l  Q_HeIII_18_u  Q_HeIII_21    Q_HeIII_21_l  Q_HeIII_21_u
12.000  1.000000e-10  1.000000e-10  1.000000e-10  1.000000e-10  1.000000e-10  1.000000e-10
11.988  4.374927e-09  2.218632e-10  1.508848e-07  1.860788e-09  2.667322e-10  1.104288e-08
11.976  8.743113e-09  3.519406e-10  3.034705e-07  3.678510e-09  4.431452e-10  2.215664e-08
11.964  1.320629e-08  4.904414e-10  4.578895e-07  5.554472e-09  6.294819e-10  3.344437e-08
11.952  1.776445e-08  6.373657e-10  6.141419e-07  7.488672e-09  8.257424e-10  4.490605e-08
11.940  2.241760e-08  7.927134e-10  7.722276e-07  9.481110e-09  1.031927e-09  5.654171e-08
11.928  2.716575e-08  9.564846e-10  9.321466e-07  1.153179e-08  1.248034e-09  6.835133e-08
11.916  3.200887e-08  1.128679e-09  1.093899e-06  1.364070e-08  1.474066e-09  8.033491e-08
11.904  3.694699e-08  1.309297e-09  1.257485e-06  1.580786e-08  1.710021e-09  9.249246e-08
11.892  4.198010e-08  1.498339e-09  1.422904e-06  1.803325e-08  1.955901e-09  1.048240e-07
11.880  4.710819e-08  1.695803e-09  1.590156e-06  2.031688e-08  2.211703e-09  1.173295e-07
11.868  5.233128e-08  1.901692e-09  1.759241e-06  2.265875e-08  2.477430e-09  1.300089e-07
11.856  5.764935e-08  2.116003e-09  1.930160e-06  2.505886e-08  2.753080e-09  1.428623e-07
11.844  6.306241e-08  2.338739e-09  2.102913e-06  2.751721e-08  3.038654e-09  1.558897e-07
11.832  6.857046e-08  2.569897e-09  2.277498e-06  3.003379e-08  3.334152e-09  1.690910e-07
11.820  7.417349e-08  2.809479e-09  2.453917e-06  3.260861e-08  3.639573e-09  1.824663e-07
11.808  7.987152e-08  3.057485e-09  2.632169e-06  3.524168e-08  3.954919e-09  1.960156e-07
11.796  8.566453e-08  3.313913e-09  2.812255e-06  3.793298e-08  4.280188e-09  2.097752e-07
11.784  9.157323e-08  3.578766e-09  2.994415e-06  4.068252e-08  4.615380e-09  2.237900e-07
11.772  9.762614e-08  3.852042e-09  3.179092e-06  4.349030e-08  4.960497e-09  2.380600e-07
11.760  1.038235e-07  4.133741e-09  3.366296e-06  4.635631e-08  5.315537e-09  2.525853e-07
11.748  1.101652e-07  4.423863e-09  3.556027e-06  4.928057e-08  5.680501e-09  2.673659e-07
11.736  1.166513e-07  4.722409e-09  3.748285e-06  5.226306e-08  6.055388e-09  2.824017e-07
11.724  1.232818e-07  5.029379e-09  3.943070e-06  5.530379e-08  6.440199e-09  2.976929e-07
11.712  1.300568e-07  5.344772e-09  4.140381e-06  5.840276e-08  6.834934e-09  3.132393e-07
11.700  1.369761e-07  5.668588e-09  4.340219e-06  6.155997e-08  7.239593e-09  3.290410e-07
11.688  1.440398e-07  6.000828e-09  4.542584e-06  6.477542e-08  7.654176e-09  3.450979e-07
11.676  1.512479e-07  6.341491e-09  4.747476e-06  6.804911e-08  8.078682e-09  3.614102e-07
11.664  1.586005e-07  6.690578e-09  4.954895e-06  7.138103e-08  8.513112e-09  3.779777e-07
11.652  1.660974e-07  7.048088e-09  5.164840e-06  7.477120e-08  8.957466e-09  3.948005e-07
11.640  1.737387e-07  7.414021e-09  5.377313e-06  7.821960e-08  9.411743e-09  4.118786e-07
11.628  1.815245e-07  7.788378e-09  5.592582e-06  8.172624e-08  9.875944e-09  4.292119e-07
11.616  1.894546e-07  8.171158e-09  5.811145e-06  8.529112e-08  1.035007e-08  4.420647e-07
11.604  1.975292e-07  8.562362e-09  6.033013e-06  8.891424e-08  1.083412e-08  4.608327e-07
11.592  2.020949e-07  8.961989e-09  6.258187e-06  9.259559e-08  1.132809e-08  4.798644e-07
11.580  2.111187e-07  9.370040e-09  6.486666e-06  9.633519e-08  1.183199e-08  4.991671e-07
11.568  2.202919e-07  9.786514e-09  6.718450e-06  1.001330e-07  1.234581e-08  5.187482e-07
11.556  2.296191e-07  1.021141e-08  6.953540e-06  1.039891e-07  1.286955e-08  5.386151e-07
11.544  2.391050e-07  1.064473e-08  7.191935e-06  1.079034e-07  1.340322e-08  5.587752e-07
11.532  2.487543e-07  1.108648e-08  7.433635e-06  1.118760e-07  1.394681e-08  5.792359e-07
11.520  2.585715e-07  1.153664e-08  7.678640e-06  1.159067e-07  1.450032e-08  6.000044e-07
11.508  2.685614e-07  1.199524e-08  7.926951e-06  1.199958e-07  1.506376e-08  6.210883e-07
11.495  2.787287e-07  1.246225e-08  8.178566e-06  1.241430e-07  1.563712e-08  6.424949e-07
11.483  2.890778e-07  1.293769e-08  8.433487e-06  1.283485e-07  1.622041e-08  6.642315e-07
11.471  2.996136e-07  1.342155e-08  8.669610e-06  1.326123e-07  1.681362e-08  6.863056e-07
11.459  3.103406e-07  1.391383e-08  8.937523e-06  1.369343e-07  1.741675e-08  7.087246e-07
11.447  3.212635e-07  1.441454e-08  9.208879e-06  1.413145e-07  1.802981e-08  7.314957e-07
11.435  3.323870e-07  1.492368e-08  9.483752e-06  1.457529e-07  1.865279e-08  7.546264e-07
11.423  3.437156e-07  1.544123e-08  9.762215e-06  1.502496e-07  1.928569e-08  7.781273e-07
11.411  3.552542e-07  1.596721e-08  1.004435e-05  1.548046e-07  1.992852e-08  8.020500e-07
11.399  3.670072e-07  1.650161e-08  1.033022e-05  1.594177e-07  2.058127e-08  8.264194e-07
11.387  3.789813e-07  1.704444e-08  1.061990e-05  1.640892e-07  2.124395e-08  8.512472e-07
11.375  3.912306e-07  1.759569e-08  1.091348e-05  1.688188e-07  2.191655e-08  8.765447e-07
11.363  4.037848e-07  1.815536e-08  1.121102e-05  1.736067e-07  2.259907e-08  9.023237e-07
11.351  4.166532e-07  1.872345e-08  1.151260e-05  1.784528e-07  2.329152e-08  9.285956e-07
11.339  4.298449e-07  1.929997e-08  1.181830e-05  1.833774e-07  2.399389e-08  9.553720e-07
11.327  4.433692e-07  1.988492e-08  1.212818e-05  1.884619e-07  2.470618e-08  9.826645e-07
11.315  4.572354e-07  2.047828e-08  1.244247e-05  1.937150e-07  2.542840e-08  1.010485e-06
11.303  4.714526e-07  2.108007e-08  1.276155e-05  1.991367e-07  2.616054e-08  1.038844e-06
11.291  4.860301e-07  2.169028e-08  1.308553e-05  2.047269e-07  2.690261e-08  1.067754e-06
11.279  5.009772e-07  2.230892e-08  1.341455e-05  2.104858e-07  2.765460e-08  1.097226e-06
11.267  5.163030e-07  2.293598e-08  1.374872e-05  2.164132e-07  2.841651e-08  1.127272e-06
