# From Madau & Dickinson (2014)
          z        t_Gyr    rho_Mstar
       0.0000  0.1348E+02  0.5766E+09
       0.1000  0.1218E+02  0.5604E+09
       0.2000  0.1105E+02  0.5424E+09
       0.3000  0.1006E+02  0.5229E+09
       0.4000  0.9194E+01  0.5019E+09
       0.5000  0.8434E+01  0.4797E+09
       0.6000  0.7764E+01  0.4565E+09
       0.7000  0.7172E+01  0.4325E+09
       0.8000  0.6646E+01  0.4078E+09
       0.9000  0.6177E+01  0.3829E+09
       1.0000  0.5757E+01  0.3577E+09
       1.1000  0.5380E+01  0.3327E+09
       1.2000  0.5041E+01  0.3080E+09
       1.3000  0.4735E+01  0.2839E+09
       1.4000  0.4457E+01  0.2606E+09
       1.5000  0.4205E+01  0.2382E+09
       1.6000  0.3974E+01  0.2170E+09
       1.7000  0.3764E+01  0.1970E+09
       1.8000  0.3571E+01  0.1784E+09
       1.9000  0.3393E+01  0.1612E+09
       2.0000  0.3230E+01  0.1454E+09
       2.1000  0.3079E+01  0.1309E+09
       2.2000  0.2939E+01  0.1178E+09
       2.3000  0.2809E+01  0.1060E+09
       2.4000  0.2688E+01  0.9533E+08
       2.5000  0.2576E+01  0.8577E+08
       2.6000  0.2471E+01  0.7721E+08
       2.7000  0.2373E+01  0.6956E+08
       2.8000  0.2281E+01  0.6273E+08
       2.9000  0.2195E+01  0.5663E+08
       3.0000  0.2114E+01  0.5119E+08
       3.1000  0.2038E+01  0.4634E+08
       3.2000  0.1967E+01  0.4200E+08
       3.3000  0.1899E+01  0.3813E+08
       3.4000  0.1836E+01  0.3467E+08
       3.5000  0.1775E+01  0.3157E+08
       3.6000  0.1718E+01  0.2879E+08
       3.7000  0.1664E+01  0.2629E+08
       3.8000  0.1613E+01  0.2405E+08
       3.9000  0.1564E+01  0.2203E+08
       4.0000  0.1517E+01  0.2021E+08
       4.1000  0.1473E+01  0.1857E+08
       4.2000  0.1431E+01  0.1709E+08
       4.3000  0.1391E+01  0.1574E+08
       4.4000  0.1353E+01  0.1453E+08
       4.5000  0.1316E+01  0.1342E+08
       4.6000  0.1281E+01  0.1241E+08
       4.7000  0.1248E+01  0.1150E+08
       4.8000  0.1216E+01  0.1066E+08
       4.9000  0.1185E+01  0.9900E+07
       5.0000  0.1156E+01  0.9202E+07
       5.1000  0.1128E+01  0.8564E+07
       5.2000  0.1101E+01  0.7978E+07
       5.3000  0.1075E+01  0.7441E+07
       5.4000  0.1050E+01  0.6947E+07
       5.5000  0.1025E+01  0.6492E+07
       5.6000  0.1002E+01  0.6074E+07
       5.7000  0.9800E+00  0.5687E+07
       5.8000  0.9585E+00  0.5331E+07
       5.9000  0.9378E+00  0.5001E+07
       6.0000  0.9178E+00  0.4696E+07
       6.1000  0.8985E+00  0.4413E+07
       6.2000  0.8799E+00  0.4151E+07
       6.3000  0.8620E+00  0.3908E+07
       6.4000  0.8446E+00  0.3681E+07
       6.5000  0.8278E+00  0.3471E+07
       6.6000  0.8115E+00  0.3275E+07
       6.7000  0.7958E+00  0.3093E+07
       6.8000  0.7806E+00  0.2923E+07
       6.9000  0.7658E+00  0.2764E+07
       7.0000  0.7515E+00  0.2615E+07
       7.1000  0.7377E+00  0.2477E+07
       7.2000  0.7242E+00  0.2347E+07
       7.3000  0.7112E+00  0.2225E+07
       7.4000  0.6985E+00  0.2111E+07
       7.5000  0.6863E+00  0.2004E+07
       7.6000  0.6744E+00  0.1904E+07
       7.7000  0.6628E+00  0.1810E+07
       7.8000  0.6515E+00  0.1721E+07
       7.9000  0.6406E+00  0.1638E+07
       8.0000  0.6299E+00  0.1559E+07
       8.1000  0.6196E+00  0.1486E+07
       8.2000  0.6095E+00  0.1416E+07
       8.3000  0.5997E+00  0.1350E+07
       8.4000  0.5902E+00  0.1288E+07
       8.5000  0.5809E+00  0.1230E+07
       8.6000  0.5719E+00  0.1174E+07
       8.7000  0.5631E+00  0.1122E+07
       8.8000  0.5545E+00  0.1073E+07
       8.9000  0.5461E+00  0.1026E+07
       9.0000  0.5379E+00  0.9815E+06
       9.1000  0.5300E+00  0.9395E+06
       9.2000  0.5222E+00  0.8996E+06
       9.3000  0.5146E+00  0.8619E+06
       9.4000  0.5072E+00  0.8260E+06
       9.5000  0.5000E+00  0.7920E+06
       9.6000  0.4929E+00  0.7597E+06
       9.7000  0.4861E+00  0.7289E+06
       9.8000  0.4793E+00  0.6997E+06
       9.9000  0.4727E+00  0.6719E+06
      10.0000  0.4663E+00  0.6455E+06
