#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
1,J0002+6216,cwp+17,*,0,*,0.1153635682680,14,cwp+17,0.74238,62.26928,
2,J0006+1834,cnt96,11.41,55,bkk+16,0.69374767047,14,cn95,1.52000,18.58306,
3,J0007+7303,aaa+09c,*,0,*,0.3158731909,3,awd+12,1.75708,73.05206,
4,J0011+08,dsm+16,24.9,0,dsm+16,2.55287,0,dsm+16,2.89167,8.16667,
5,B0011+47,dth78,30.405,13,bkk+16,1.240699038946,11,hlk+04,3.57396,47.77594,
6,J0023+0923,hrm+11,14.32810,4,abb+18,0.003050203104480002,7,abb+18,5.82033,9.38996,
7,J0024-7201Z,*,24.45,4,frk+17,0.004554447383906,3,frk+17,6.02517,-72.08374,
8,J0024-7204aa,phl+16,24.971,7,phl+16,0.00184,0,phl+16,6.02363,-72.08128,
9,J0024-7204ab,phl+16,24.37,2,frk+17,0.0037046394947985,6,frk+17,6.03401,-72.07989,
10,B0021-72C,mld+90,24.600,4,frk+17,0.00575677999551635,14,frk+17,5.95981,-72.07542,
11,B0021-72D,mlr+91,24.732,3,frk+17,0.00535757328486573,9,frk+17,6.05784,-72.07885,
12,B0021-72E,mlr+91,24.236,2,frk+17,0.00353632915276244,4,frk+17,6.04627,-72.08893,
13,B0021-72F,mlr+91,24.382,5,frk+17,0.00262357935251262,4,frk+17,6.01606,-72.07856,
14,B0021-72G,rlm+95,24.436,4,frk+17,0.00404037914356515,14,frk+17,6.03317,-72.07770,
15,B0021-72H,mlr+91,24.369,8,frk+17,0.00321034070935032,11,frk+17,6.02793,-72.06856,
16,B0021-72I,mlr+91,24.43,1,frk+17,0.00348499206166289,13,frk+17,6.03306,-72.07769,
17,B0021-72J,mlr+91,24.588,3,frk+17,0.00210063354535246,5,frk+17,5.99753,-72.06633,
18,B0021-72L,rlm+95,24.40,1,frk+17,0.0043461679994616,4,frk+17,6.01572,-72.08248,
19,B0021-72M,mlr+91,24.43,2,frk+17,0.0036766432176002,3,frk+17,5.97704,-72.09188,
20,B0021-72N,rlm+95,24.574,9,frk+17,0.00305395434626085,10,frk+17,6.03828,-72.07469,
21,J0024-7204O,clf+00,24.356,2,frk+17,0.00264334329724357,5,frk+17,6.01939,-72.08160,
22,J0024-7204P,clf+00,24.29,3,rft+16,0.0036430207,3,rft+16,6.08333,-72.06944,
23,J0024-7204Q,clf+00,24.265,4,frk+17,0.00403318118457258,15,frk+17,6.06871,-72.07366,
24,J0024-7204R,clf+00,24.361,7,frk+17,0.00348046270749329,13,frk+17,6.03160,-72.08067,
25,J0024-7204S,clf+00,24.376,4,frk+17,0.00283040595787912,8,frk+17,6.01658,-72.07843,
26,J0024-7204T,clf+00,24.41,2,frk+17,0.0075884798073671,12,frk+17,6.03562,-72.07748,
27,J0024-7204U,clf+00,24.337,4,frk+17,0.00434282669639233,12,frk+17,6.04099,-72.06658,
28,J0024-7204V,clf+00,24.105,0,rft+16,0.00481016762,7,rft+16,6.02363,-72.08128,
29,J0024-7204W,clf+00,24.367,3,rft+16,0.0023523445319370,3,rft+16,6.02524,-72.08030,
30,J0024-7204X,fre08,24.539,5,rft+16,0.00477152291069356,5,rft+16,6.09327,-72.02151,
31,J0024-7204Y,frk+17,24.468,4,frk+17,0.00219665714352123,5,frk+17,6.00584,-72.07829,
32,J0024-7204Z,fre08,24.47,1,fre08,0.004554,0,fre08,6.02363,-72.08128,
33,J0026+6320,jml+09,230.31,0,jml+09,0.31835777079,3,sjm+19,6.71067,63.33357,
34,J0030+0451,lzb+00,4.33991,7,abb+18,0.0048654532112551,3,abb+18,7.61428,4.86103,
35,J0033+57,hrk+08,76,0,hrk+08,0.315,0,hrk+08,8.25000,57.00000,
36,J0033+61,hrk+08,37,0,hrk+08,0.912,0,hrk+08,8.25000,61.00000,
37,J0034-0534,bhl+94,13.76517,4,aaa+10b,0.0018771818845850,2,aaa+10b,8.59098,-5.57687,
38,B0031-07,lvw69a,10.922,6,srb+15,0.9429509945598,17,hlk+04,8.53696,-7.36484,
39,J0034+69,slr+14,80.0,3,slr+14,0.03680412,16,slr+14,8.50000,69.71667,
40,B0037+56,dtws85,92.5146,25,bkk+16,1.1182253452412,13,hlk+04,10.13484,57.27359,
41,J0045-7042,mfl+06,70,3,mfl+06,0.63233580002,6,mfl+06,11.35704,-70.70197,
42,J0045-7319,mmh+91,105.4,7,kjb+94,0.92627590497,3,kbm+96,11.39650,-73.31750,
43,B0045+33,dtws85,39.922,15,bkk+16,1.217094296058,8,hlk+04,12.14160,34.20223,
44,J0050+03,dsm+16,26.5,0,dsm+16,1.36656,0,dsm+16,12.62917,3.80000,
