#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
1     J0006+1834    cnt96      00:06:04.8           2  cn95       +18:34:59            4  cn95       0.69374767047           14  cn95       11.41         55  bkk+16     
2     J0011+08      dsm+16     00:11:34           114  dsm+16     +08:10               8  dsm+16     2.55287                  0  dsm+16     24.9           0  dsm+16     
3     J0014+4746    dth78      00:14:17.75          4  hlk+04     +47:46:33.4          3  hlk+04     1.240699038946          11  hlk+04     30.405        13  bkk+16     
4     J0023+0923    hrm+11     00:23:16.87910       3  mnf+16     +09:23:23.871        1  mnf+16     0.00305020310409707      3  abb+15     14.3283        5  abb+15     
5     J0024-7204aa  phl+16     00:24:05.67          0  mam+06     -72:04:52.62         0  mam+06     0.00184                  0  phl+16     24.971         7  phl+16     

6     J0024-7204ab  phl+16     00:24:08.1657        4  phl+16     -72:04:47.616        2  phl+16     0.00370463955393907     20  phl+16     24.37          2  phl+16     
7     J0024-7204C   mld+90     00:23:50.35311       9  fck+03     -72:04:31.4926       4  fck+03     0.00575677999551320     17  fck+03     24.599         2  fkl+01     
8     J0024-7204D   mlr+91     00:24:13.87934       7  fck+03     -72:04:43.8405       3  fck+03     0.00535757328486266     18  fck+03     24.729         2  fkl+01     
9     J0024-7204E   mlr+91     00:24:11.1036        1  fck+03     -72:05:20.1377       4  fck+03     0.00353632915276031     13  fck+03     24.230         2  fkl+01     
10    J0024-7204F   mlr+91     00:24:03.8539        1  fck+03     -72:04:42.8065       5  fck+03     0.00262357935251098     14  fck+03     24.379         5  fkl+01     

11    J0024-7204G   rlm+95     00:24:07.9587        3  fck+03     -72:04:39.6911       7  fck+03     0.0040403791435629       4  fck+03     24.441         5  fkl+01     
12    J0024-7204H   mlr+91     00:24:06.7014        3  fck+03     -72:04:06.795        1  fck+03     0.0032103407093484       5  fck+03     24.36          3  fkl+01     
